#    L    TT             EE             TE          
     2    0.11701E+04    0.54919E-01    0.35521E+01
     3    0.10938E+04    0.90484E-01    0.44606E+01
     4    0.10215E+04    0.10275E+00    0.46019E+01
     5    0.96538E+03    0.92278E-01    0.42841E+01
     6    0.92434E+03    0.69184E-01    0.37468E+01
     7    0.89566E+03    0.44728E-01    0.31425E+01
     8    0.87621E+03    0.26092E-01    0.25640E+01
     9    0.86382E+03    0.15234E-01    0.20613E+01
    10    0.85692E+03    0.10508E-01    0.16627E+01
    11    0.85399E+03    0.90275E-02    0.13784E+01
    12    0.85516E+03    0.84931E-02    0.12083E+01
    13    0.85855E+03    0.77634E-02    0.11308E+01
    14    0.86314E+03    0.68283E-02    0.11193E+01
    15    0.86923E+03    0.60120E-02    0.11544E+01
    16    0.87727E+03    0.56094E-02    0.12195E+01
    17    0.88715E+03    0.56849E-02    0.12971E+01
    18    0.89789E+03    0.60381E-02    0.13731E+01
    19    0.91028E+03    0.64895E-02    0.14408E+01
    20    0.92261E+03    0.69557E-02    0.14944E+01
    21    0.93523E+03    0.74515E-02    0.15389E+01
    22    0.94845E+03    0.80978E-02    0.15795E+01
    23    0.96206E+03    0.89832E-02    0.16175E+01
    24    0.97612E+03    0.10142E-01    0.16537E+01
    25    0.99055E+03    0.11590E-01    0.16914E+01
    26    0.10052E+04    0.13297E-01    0.17349E+01
    27    0.10202E+04    0.15216E-01    0.17814E+01
    28    0.10355E+04    0.17328E-01    0.18284E+01
    29    0.10511E+04    0.19641E-01    0.18744E+01
    30    0.10670E+04    0.22167E-01    0.19166E+01
    31    0.10830E+04    0.24890E-01    0.19515E+01
    32    0.10994E+04    0.27783E-01    0.19759E+01
    33    0.11161E+04    0.30859E-01    0.19876E+01
    34    0.11330E+04    0.34149E-01    0.19867E+01
    35    0.11501E+04    0.37655E-01    0.19759E+01
    36    0.11672E+04    0.41385E-01    0.19564E+01
    37    0.11844E+04    0.45350E-01    0.19240E+01
    38    0.12021E+04    0.49569E-01    0.18765E+01
    39    0.12202E+04    0.54050E-01    0.18169E+01
    40    0.12384E+04    0.58807E-01    0.17496E+01
    41    0.12567E+04    0.63853E-01    0.16772E+01
    42    0.12751E+04    0.69194E-01    0.15977E+01
    43    0.12936E+04    0.74829E-01    0.15080E+01
    44    0.13122E+04    0.80743E-01    0.14059E+01
    45    0.13310E+04    0.86934E-01    0.12890E+01
    46    0.13502E+04    0.93401E-01    0.11541E+01
    47    0.13694E+04    0.10014E+00    0.10028E+01
    48    0.13888E+04    0.10716E+00    0.84091E+00
    49    0.14083E+04    0.11444E+00    0.67342E+00
    50    0.14283E+04    0.12196E+00    0.49865E+00
    51    0.14484E+04    0.12969E+00    0.31307E+00
    52    0.14689E+04    0.13771E+00    0.11141E+00
    53    0.14894E+04    0.14618E+00   -0.11020E+00
    54    0.15098E+04    0.15509E+00   -0.34764E+00
    55    0.15304E+04    0.16441E+00   -0.59668E+00
    56    0.15514E+04    0.17400E+00   -0.85914E+00
    57    0.15726E+04    0.18376E+00   -0.11347E+01
    58    0.15941E+04    0.19368E+00   -0.14238E+01
    59    0.16158E+04    0.20382E+00   -0.17268E+01
    60    0.16377E+04    0.21422E+00   -0.20428E+01
    61    0.16600E+04    0.22498E+00   -0.23706E+01
    62    0.16822E+04    0.23608E+00   -0.27114E+01
    63    0.17045E+04    0.24748E+00   -0.30664E+01
    64    0.17273E+04    0.25919E+00   -0.34372E+01
    65    0.17500E+04    0.27118E+00   -0.38247E+01
    66    0.17731E+04    0.28337E+00   -0.42271E+01
    67    0.17964E+04    0.29578E+00   -0.46417E+01
    68    0.18201E+04    0.30844E+00   -0.50663E+01
    69    0.18440E+04    0.32132E+00   -0.54989E+01
    70    0.18682E+04    0.33446E+00   -0.59410E+01
    71    0.18926E+04    0.34784E+00   -0.63946E+01
    72    0.19171E+04    0.36145E+00   -0.68612E+01
    73    0.19418E+04    0.37524E+00   -0.73415E+01
    74    0.19667E+04    0.38920E+00   -0.78349E+01
    75    0.19919E+04    0.40334E+00   -0.83400E+01
    76    0.20174E+04    0.41766E+00   -0.88562E+01
    77    0.20432E+04    0.43214E+00   -0.93834E+01
    78    0.20694E+04    0.44682E+00   -0.99229E+01
    79    0.20958E+04    0.46164E+00   -0.10471E+02
    80    0.21225E+04    0.47659E+00   -0.11029E+02
    81    0.21494E+04    0.49164E+00   -0.11597E+02
    82    0.21765E+04    0.50678E+00   -0.12174E+02
    83    0.22038E+04    0.52201E+00   -0.12760E+02
