#    L    TT             EE             BB             TE          
     2    0.51413E+03    0.16246E-01    0.25688E-01    0.31325E+00
     3    0.41190E+03    0.21024E-01    0.29804E-01   -0.42616E+00
     4    0.38548E+03    0.22518E-01    0.29438E-01   -0.66590E+00
     5    0.37472E+03    0.20862E-01    0.26024E-01   -0.71133E+00
     6    0.36988E+03    0.17321E-01    0.21175E-01   -0.66522E+00
     7    0.36807E+03    0.13212E-01    0.16202E-01   -0.58372E+00
     8    0.36779E+03    0.95335E-02    0.11920E-01   -0.49927E+00
     9    0.36850E+03    0.67956E-02    0.86806E-02   -0.42669E+00
    10    0.36978E+03    0.51154E-02    0.65202E-02   -0.36874E+00
    11    0.37113E+03    0.43584E-02    0.53013E-02   -0.32813E+00
    12    0.37197E+03    0.42762E-02    0.48226E-02   -0.30376E+00
    13    0.37258E+03    0.46394E-02    0.48773E-02   -0.29334E+00
    14    0.37336E+03    0.52507E-02    0.52764E-02   -0.29465E+00
    15    0.37445E+03    0.60008E-02    0.58981E-02   -0.30563E+00
    16    0.37582E+03    0.68155E-02    0.66479E-02   -0.32444E+00
    17    0.37711E+03    0.76727E-02    0.74759E-02   -0.34983E+00
    18    0.37795E+03    0.85654E-02    0.83481E-02   -0.38065E+00
    19    0.37832E+03    0.94940E-02    0.92528E-02   -0.41546E+00
    20    0.37831E+03    0.10460E-01    0.10184E-01   -0.45313E+00
    21    0.37800E+03    0.11464E-01    0.11140E-01   -0.49380E+00
    22    0.37747E+03    0.12503E-01    0.12117E-01   -0.53781E+00
    23    0.37671E+03    0.13573E-01    0.13116E-01   -0.58473E+00
    24    0.37573E+03    0.14668E-01    0.14134E-01   -0.63402E+00
    25    0.37456E+03    0.15786E-01    0.15167E-01   -0.68539E+00
    26    0.37321E+03    0.16926E-01    0.16213E-01   -0.73856E+00
    27    0.37170E+03    0.18082E-01    0.17274E-01   -0.79292E+00
    28    0.37002E+03    0.19253E-01    0.18349E-01   -0.84806E+00
    29    0.36817E+03    0.20448E-01    0.19439E-01   -0.90452E+00
    30    0.36616E+03    0.21680E-01    0.20542E-01   -0.96289E+00
    31    0.36401E+03    0.22946E-01    0.21657E-01   -0.10227E+01
    32    0.36172E+03    0.24239E-01    0.22782E-01   -0.10834E+01
    33    0.35931E+03    0.25546E-01    0.23916E-01   -0.11446E+01
    34    0.35674E+03    0.26858E-01    0.25059E-01   -0.12062E+01
    35    0.35405E+03    0.28180E-01    0.26207E-01   -0.12680E+01
    36    0.35125E+03    0.29521E-01    0.27357E-01   -0.13300E+01
    37    0.34834E+03    0.30882E-01    0.28511E-01   -0.13920E+01
    38    0.34531E+03    0.32263E-01    0.29671E-01   -0.14537E+01
    39    0.34218E+03    0.33661E-01    0.30835E-01   -0.15151E+01
    40    0.33894E+03    0.35072E-01    0.31998E-01   -0.15761E+01
    41    0.33561E+03    0.36491E-01    0.33158E-01   -0.16367E+01
    42    0.33218E+03    0.37918E-01    0.34313E-01   -0.16968E+01
    43    0.32866E+03    0.39351E-01    0.35462E-01   -0.17563E+01
    44    0.32505E+03    0.40791E-01    0.36603E-01   -0.18150E+01
    45    0.32135E+03    0.42236E-01    0.37737E-01   -0.18730E+01
    46    0.31758E+03    0.43687E-01    0.38860E-01   -0.19299E+01
    47    0.31374E+03    0.45141E-01    0.39974E-01   -0.19859E+01
    48    0.30982E+03    0.46598E-01    0.41074E-01   -0.20406E+01
    49    0.30584E+03    0.48055E-01    0.42161E-01   -0.20942E+01
    50    0.30179E+03    0.49512E-01    0.43231E-01   -0.21463E+01
    51    0.29769E+03    0.50967E-01    0.44285E-01   -0.21969E+01
    52    0.29353E+03    0.52417E-01    0.45321E-01   -0.22461E+01
    53    0.28933E+03    0.53863E-01    0.46337E-01   -0.22936E+01
    54    0.28507E+03    0.55300E-01    0.47334E-01   -0.23396E+01
    55    0.28078E+03    0.56729E-01    0.48310E-01   -0.23839E+01
    56    0.27645E+03    0.58147E-01    0.49265E-01   -0.24265E+01
    57    0.27209E+03    0.59553E-01    0.50198E-01   -0.24674E+01
    58    0.26769E+03    0.60947E-01    0.51106E-01   -0.25064E+01
    59    0.26326E+03    0.62329E-01    0.51991E-01   -0.25435E+01
    60    0.25881E+03    0.63698E-01    0.52849E-01   -0.25786E+01
    61    0.25433E+03    0.65053E-01    0.53681E-01   -0.26117E+01
    62    0.24983E+03    0.66393E-01    0.54485E-01   -0.26427E+01
    63    0.24531E+03    0.67718E-01    0.55262E-01   -0.26717E+01
    64    0.24079E+03    0.69026E-01    0.56011E-01   -0.26987E+01
    65    0.23625E+03    0.70315E-01    0.56731E-01   -0.27238E+01
    66    0.23172E+03    0.71585E-01    0.57423E-01   -0.27469E+01
    67    0.22719E+03    0.72833E-01    0.58085E-01   -0.27681E+01
    68    0.22266E+03    0.74058E-01    0.58717E-01   -0.27872E+01
    69    0.21814E+03    0.75258E-01    0.59318E-01   -0.28040E+01
    70    0.21362E+03    0.76430E-01    0.59887E-01   -0.28186E+01
    71    0.20911E+03    0.77574E-01    0.60425E-01   -0.28309E+01
    72    0.20461E+03    0.78690E-01    0.60931E-01   -0.28409E+01
    73    0.20013E+03    0.79780E-01    0.61405E-01   -0.28488E+01
    74    0.19567E+03    0.80846E-01    0.61847E-01   -0.28548E+01
    75    0.19123E+03    0.81889E-01    0.62257E-01   -0.28590E+01
    76    0.18682E+03    0.82910E-01    0.62635E-01   -0.28616E+01
    77    0.18243E+03    0.83906E-01    0.62982E-01   -0.28623E+01
    78    0.17807E+03    0.84873E-01    0.63296E-01   -0.28612E+01
    79    0.17375E+03    0.85809E-01    0.63579E-01   -0.28581E+01
    80    0.16946E+03    0.86708E-01    0.63830E-01   -0.28529E+01
    81    0.16520E+03    0.87568E-01    0.64048E-01   -0.28455E+01
    82    0.16098E+03    0.88390E-01    0.64235E-01   -0.28360E+01
    83    0.15679E+03    0.89174E-01    0.64390E-01   -0.28245E+01
    84    0.15265E+03    0.89923E-01    0.64512E-01   -0.28112E+01
    85    0.14856E+03    0.90637E-01    0.64603E-01   -0.27962E+01
    86    0.14451E+03    0.91318E-01    0.64662E-01   -0.27796E+01
    87    0.14051E+03    0.91964E-01    0.64689E-01   -0.27613E+01
    88    0.13656E+03    0.92575E-01    0.64685E-01   -0.27415E+01
    89    0.13266E+03    0.93148E-01    0.64649E-01   -0.27202E+01
    90    0.12882E+03    0.93684E-01    0.64583E-01   -0.26973E+01
    91    0.12503E+03    0.94180E-01    0.64486E-01   -0.26729E+01
    92    0.12130E+03    0.94638E-01    0.64360E-01   -0.26471E+01
    93    0.11762E+03    0.95057E-01    0.64204E-01   -0.26198E+01
    94    0.11400E+03    0.95437E-01    0.64020E-01   -0.25912E+01
    95    0.11044E+03    0.95778E-01    0.63808E-01   -0.25613E+01
    96    0.10693E+03    0.96081E-01    0.63568E-01   -0.25302E+01
    97    0.10349E+03    0.96347E-01    0.63302E-01   -0.24979E+01
    98    0.10010E+03    0.96574E-01    0.63010E-01   -0.24644E+01
    99    0.96776E+02    0.96763E-01    0.62693E-01   -0.24299E+01
   100    0.93511E+02    0.96915E-01    0.62351E-01   -0.23943E+01
   101    0.90308E+02    0.97030E-01    0.61985E-01   -0.23578E+01
   102    0.87167E+02    0.97107E-01    0.61595E-01   -0.23204E+01
   103    0.84090E+02    0.97147E-01    0.61183E-01   -0.22821E+01
   104    0.81075E+02    0.97151E-01    0.60749E-01   -0.22430E+01
   105    0.78125E+02    0.97118E-01    0.60294E-01   -0.22032E+01
   106    0.75240E+02    0.97049E-01    0.59818E-01   -0.21626E+01
   107    0.72420E+02    0.96943E-01    0.59321E-01   -0.21215E+01
   108    0.69667E+02    0.96802E-01    0.58805E-01   -0.20797E+01
   109    0.66980E+02    0.96624E-01    0.58271E-01   -0.20375E+01
   110    0.64360E+02    0.96411E-01    0.57718E-01   -0.19948E+01
   111    0.61809E+02    0.96162E-01    0.57147E-01   -0.19516E+01
   112    0.59325E+02    0.95879E-01    0.56560E-01   -0.19081E+01
   113    0.56908E+02    0.95561E-01    0.55957E-01   -0.18642E+01
   114    0.54557E+02    0.95209E-01    0.55339E-01   -0.18201E+01
   115    0.52272E+02    0.94824E-01    0.54707E-01   -0.17757E+01
   116    0.50052E+02    0.94406E-01    0.54061E-01   -0.17311E+01
   117    0.47896E+02    0.93955E-01    0.53403E-01   -0.16864E+01
   118    0.45804E+02    0.93473E-01    0.52733E-01   -0.16415E+01
   119    0.43775E+02    0.92959E-01    0.52052E-01   -0.15966E+01
   120    0.41809E+02    0.92414E-01    0.51361E-01   -0.15516E+01
   121    0.39904E+02    0.91839E-01    0.50660E-01   -0.15066E+01
   122    0.38061E+02    0.91235E-01    0.49952E-01   -0.14617E+01
   123    0.36278E+02    0.90601E-01    0.49235E-01   -0.14169E+01
   124    0.34556E+02    0.89938E-01    0.48511E-01   -0.13722E+01
   125    0.32892E+02    0.89247E-01    0.47782E-01   -0.13276E+01
   126    0.31288E+02    0.88528E-01    0.47047E-01   -0.12833E+01
   127    0.29742E+02    0.87782E-01    0.46308E-01   -0.12393E+01
   128    0.28253E+02    0.87009E-01    0.45565E-01   -0.11955E+01
   129    0.26821E+02    0.86210E-01    0.44819E-01   -0.11521E+01
   130    0.25446E+02    0.85385E-01    0.44072E-01   -0.11091E+01
   131    0.24126E+02    0.84535E-01    0.43323E-01   -0.10665E+01
   132    0.22860E+02    0.83661E-01    0.42574E-01   -0.10243E+01
   133    0.21648E+02    0.82765E-01    0.41825E-01   -0.98263E+00
   134    0.20489E+02    0.81846E-01    0.41076E-01   -0.94145E+00
   135    0.19380E+02    0.80906E-01    0.40329E-01   -0.90079E+00
   136    0.18322E+02    0.79947E-01    0.39583E-01   -0.86067E+00
   137    0.17312E+02    0.78969E-01    0.38840E-01   -0.82112E+00
   138    0.16350E+02    0.77974E-01    0.38099E-01   -0.78216E+00
   139    0.15435E+02    0.76963E-01    0.37362E-01   -0.74382E+00
   140    0.14566E+02    0.75936E-01    0.36629E-01   -0.70611E+00
   141    0.13741E+02    0.74896E-01    0.35901E-01   -0.66907E+00
   142    0.12959E+02    0.73842E-01    0.35178E-01   -0.63271E+00
   143    0.12220E+02    0.72776E-01    0.34460E-01   -0.59706E+00
   144    0.11521E+02    0.71700E-01    0.33749E-01   -0.56215E+00
   145    0.10863E+02    0.70614E-01    0.33045E-01   -0.52799E+00
   146    0.10243E+02    0.69519E-01    0.32348E-01   -0.49461E+00
   147    0.96610E+01    0.68417E-01    0.31659E-01   -0.46203E+00
   148    0.91156E+01    0.67308E-01    0.30979E-01   -0.43028E+00
   149    0.86057E+01    0.66195E-01    0.30308E-01   -0.39938E+00
   150    0.81302E+01    0.65077E-01    0.29646E-01   -0.36936E+00
   151    0.76879E+01    0.63956E-01    0.28995E-01   -0.34023E+00
   152    0.72778E+01    0.62833E-01    0.28355E-01   -0.31199E+00
   153    0.68990E+01    0.61708E-01    0.27725E-01   -0.28464E+00
   154    0.65503E+01    0.60582E-01    0.27106E-01   -0.25817E+00
   155    0.62309E+01    0.59457E-01    0.26498E-01   -0.23259E+00
