#    L    TT             EE             BB             TE          
     2   0.419812E+04   0.563727E-01   0.169806E-05   0.644964E+01
     3   0.447444E+04   0.902188E-01   0.339714E-05   0.771523E+01
     4   0.424947E+04   0.997063E-01   0.566419E-05   0.739791E+01
     5   0.388669E+04   0.870528E-01   0.850052E-05   0.636443E+01
     6   0.351670E+04   0.633162E-01   0.119078E-04   0.514339E+01
     7   0.318282E+04   0.396838E-01   0.158880E-04   0.399608E+01
     8   0.289598E+04   0.225867E-01   0.204434E-04   0.303527E+01
     9   0.265381E+04   0.131789E-01   0.255763E-04   0.229658E+01
    10   0.244916E+04   0.936041E-02   0.312896E-04   0.178265E+01
    11   0.227600E+04   0.822723E-02   0.375862E-04   0.146894E+01
    12   0.212999E+04   0.773868E-02   0.444692E-04   0.130738E+01
    13   0.200578E+04   0.699473E-02   0.519419E-04   0.125167E+01
    14   0.189927E+04   0.615697E-02   0.600076E-04   0.126034E+01
    15   0.180816E+04   0.551181E-02   0.686698E-04   0.131148E+01
    16   0.173062E+04   0.526657E-02   0.779320E-04   0.138606E+01
    17   0.166498E+04   0.540788E-02   0.877979E-04   0.145375E+01
    18   0.160888E+04   0.568590E-02   0.982709E-04   0.149111E+01
    19   0.156179E+04   0.597401E-02   0.109355E-03   0.150680E+01
    20   0.152083E+04   0.625908E-02   0.121052E-03   0.151310E+01
    21   0.148564E+04   0.659132E-02   0.133367E-03   0.151904E+01
    22   0.145588E+04   0.710791E-02   0.146303E-03   0.152970E+01
    23   0.143074E+04   0.787133E-02   0.159862E-03   0.154241E+01
    24   0.140969E+04   0.888393E-02   0.174048E-03   0.155457E+01
    25   0.139222E+04   0.101537E-01   0.188863E-03   0.157131E+01
    26   0.137776E+04   0.116479E-01   0.204310E-03   0.159968E+01
    27   0.136626E+04   0.133308E-01   0.220390E-03   0.163926E+01
    28   0.135732E+04   0.151916E-01   0.237105E-03   0.168705E+01
    29   0.135078E+04   0.172098E-01   0.254457E-03   0.173199E+01
    30   0.134633E+04   0.193776E-01   0.272448E-03   0.176278E+01
    31   0.134368E+04   0.217083E-01   0.291078E-03   0.178162E+01
    32   0.134292E+04   0.242042E-01   0.310347E-03   0.179284E+01
    33   0.134391E+04   0.268511E-01   0.330257E-03   0.179607E+01
    34   0.134633E+04   0.296505E-01   0.350806E-03   0.179037E+01
    35   0.135008E+04   0.326348E-01   0.371996E-03   0.177428E+01
    36   0.135501E+04   0.358430E-01   0.393824E-03   0.174583E+01
    37   0.136100E+04   0.392762E-01   0.416290E-03   0.170554E+01
    38   0.136820E+04   0.429338E-01   0.439393E-03   0.165640E+01
    39   0.137652E+04   0.468181E-01   0.463132E-03   0.159983E+01
    40   0.138566E+04   0.509382E-01   0.487503E-03   0.153669E+01
    41   0.139567E+04   0.553059E-01   0.512507E-03   0.146715E+01
    42   0.140628E+04   0.599262E-01   0.538139E-03   0.138956E+01
    43   0.141759E+04   0.648017E-01   0.564399E-03   0.130182E+01
    44   0.142941E+04   0.699204E-01   0.591282E-03   0.120273E+01
    45   0.144207E+04   0.752806E-01   0.618787E-03   0.109117E+01
    46   0.145545E+04   0.808832E-01   0.646912E-03   0.964498E+00
    47   0.146938E+04   0.867268E-01   0.675652E-03   0.823925E+00
