#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.419812E+04   0.563710E-01   0.000000E+00   0.644964E+01   0.174397E-06  -0.193996E-01  -0.237218E-04
     3   0.447443E+04   0.902154E-01   0.000000E+00   0.771523E+01   0.205634E-06  -0.215699E-01  -0.275037E-04
     4   0.424946E+04   0.997007E-01   0.000000E+00   0.739791E+01   0.228726E-06  -0.221343E-01  -0.273246E-04
     5   0.388668E+04   0.870443E-01   0.000000E+00   0.636443E+01   0.246451E-06  -0.219543E-01  -0.244256E-04
     6   0.351668E+04   0.633043E-01   0.000000E+00   0.514339E+01   0.260160E-06  -0.214191E-01  -0.199308E-04
     7   0.318279E+04   0.396679E-01   0.000000E+00   0.399608E+01   0.270863E-06  -0.207208E-01  -0.148138E-04
     8   0.289594E+04   0.225663E-01   0.000000E+00   0.303528E+01   0.279228E-06  -0.199597E-01  -0.982976E-05
     9   0.265376E+04   0.131533E-01   0.000000E+00   0.229659E+01   0.285754E-06  -0.191874E-01  -0.561584E-05
    10   0.244910E+04   0.932912E-02   0.000000E+00   0.178267E+01   0.290767E-06  -0.184218E-01  -0.263514E-05
    11   0.227592E+04   0.818964E-02   0.000000E+00   0.146896E+01   0.294614E-06  -0.176770E-01  -0.100688E-05
    12   0.212991E+04   0.769422E-02   0.000000E+00   0.130742E+01   0.297426E-06  -0.169551E-01  -0.497109E-06
    13   0.200568E+04   0.694280E-02   0.000000E+00   0.125171E+01   0.299371E-06  -0.162599E-01  -0.817749E-06
    14   0.189915E+04   0.609697E-02   0.000000E+00   0.126039E+01   0.300626E-06  -0.155968E-01  -0.170653E-05
    15   0.180803E+04   0.544315E-02   0.000000E+00   0.131155E+01   0.301295E-06  -0.149661E-01  -0.294424E-05
    16   0.173047E+04   0.518865E-02   0.000000E+00   0.138616E+01   0.301462E-06  -0.143674E-01  -0.429222E-05
    17   0.166480E+04   0.532011E-02   0.000000E+00   0.145387E+01   0.301212E-06  -0.137998E-01  -0.537968E-05
    18   0.160868E+04   0.558766E-02   0.000000E+00   0.149126E+01   0.300615E-06  -0.132621E-01  -0.589981E-05
    19   0.156158E+04   0.586470E-02   0.000000E+00   0.150698E+01   0.299705E-06  -0.127514E-01  -0.591468E-05
    20   0.152060E+04   0.613809E-02   0.000000E+00   0.151331E+01   0.298511E-06  -0.122651E-01  -0.557964E-05
    21   0.148537E+04   0.645803E-02   0.000000E+00   0.151929E+01   0.297085E-06  -0.118027E-01  -0.506645E-05
    22   0.145559E+04   0.696171E-02   0.000000E+00   0.153000E+01   0.295479E-06  -0.113640E-01  -0.451356E-05
    23   0.143043E+04   0.771160E-02   0.000000E+00   0.154277E+01   0.293714E-06  -0.109472E-01  -0.391617E-05
    24   0.140935E+04   0.871006E-02   0.000000E+00   0.155498E+01   0.291805E-06  -0.105501E-01  -0.327009E-05
    25   0.139185E+04   0.996502E-02   0.000000E+00   0.157179E+01   0.289775E-06  -0.101714E-01  -0.271403E-05
    26   0.137735E+04   0.114439E-01   0.000000E+00   0.160023E+01   0.287650E-06  -0.980978E-02  -0.239182E-05
    27   0.136582E+04   0.131108E-01   0.000000E+00   0.163989E+01   0.285447E-06  -0.946443E-02  -0.232910E-05
    28   0.135685E+04   0.149549E-01   0.000000E+00   0.168777E+01   0.283179E-06  -0.913460E-02  -0.249122E-05
    29   0.135027E+04   0.169559E-01   0.000000E+00   0.173280E+01   0.280843E-06  -0.881954E-02  -0.271971E-05
    30   0.134579E+04   0.191058E-01   0.000000E+00   0.176370E+01   0.278441E-06  -0.851853E-02  -0.286119E-05
    31   0.134310E+04   0.214180E-01   0.000000E+00   0.178264E+01   0.275994E-06  -0.823081E-02  -0.290266E-05
    32   0.134230E+04   0.238948E-01   0.000000E+00   0.179398E+01   0.273523E-06  -0.795565E-02  -0.287279E-05
    33   0.134325E+04   0.265221E-01   0.000000E+00   0.179733E+01   0.271033E-06  -0.769241E-02  -0.282742E-05
    34   0.134563E+04   0.293011E-01   0.000000E+00   0.179177E+01   0.268527E-06  -0.744054E-02  -0.280657E-05
    35   0.134934E+04   0.322645E-01   0.000000E+00   0.177581E+01   0.266010E-06  -0.719981E-02  -0.276082E-05
    36   0.135423E+04   0.354513E-01   0.000000E+00   0.174750E+01   0.263488E-06  -0.696991E-02  -0.263146E-05
    37   0.136017E+04   0.388624E-01   0.000000E+00   0.170737E+01   0.260964E-06  -0.674985E-02  -0.241081E-05
    38   0.136733E+04   0.424973E-01   0.000000E+00   0.165839E+01   0.258444E-06  -0.653859E-02  -0.211605E-05
    39   0.137561E+04   0.463584E-01   0.000000E+00   0.160199E+01   0.255929E-06  -0.633552E-02  -0.181275E-05
    40   0.138470E+04   0.504546E-01   0.000000E+00   0.153902E+01   0.253421E-06  -0.614013E-02  -0.157832E-05
    41   0.139467E+04   0.547980E-01   0.000000E+00   0.146966E+01   0.250920E-06  -0.595196E-02  -0.146905E-05
    42   0.140523E+04   0.593934E-01   0.000000E+00   0.139226E+01   0.248430E-06  -0.577079E-02  -0.145770E-05
    43   0.141649E+04   0.642435E-01   0.000000E+00   0.130471E+01   0.245952E-06  -0.559642E-02  -0.149632E-05
    44   0.142827E+04   0.693362E-01   0.000000E+00   0.120582E+01   0.243489E-06  -0.542868E-02  -0.153714E-05
    45   0.144087E+04   0.746700E-01   0.000000E+00   0.109446E+01   0.241044E-06  -0.526740E-02  -0.153255E-05
    46   0.145420E+04   0.802457E-01   0.000000E+00   0.967992E+00   0.238617E-06  -0.511237E-02  -0.144972E-05
    47   0.146809E+04   0.860619E-01   0.000000E+00   0.827625E+00   0.236212E-06  -0.496332E-02  -0.131451E-05
    48   0.148244E+04   0.921233E-01   0.000000E+00   0.678197E+00   0.233828E-06  -0.481993E-02  -0.116738E-05
    49   0.149731E+04   0.984126E-01   0.000000E+00   0.523946E+00   0.231466E-06  -0.468189E-02  -0.104863E-05
    50   0.151292E+04   0.104905E+00   0.000000E+00   0.362330E+00   0.229128E-06  -0.454890E-02  -0.998499E-06
    51   0.152902E+04   0.111572E+00   0.000000E+00   0.189253E+00   0.226815E-06  -0.442068E-02  -0.104392E-05
    52   0.154580E+04   0.118501E+00   0.000000E+00   0.350808E-04   0.224526E-06  -0.429705E-02  -0.115900E-05
    53   0.156286E+04   0.125842E+00   0.000000E+00  -0.208297E+00   0.222262E-06  -0.417787E-02  -0.130470E-05
    54   0.158009E+04   0.133589E+00   0.000000E+00  -0.430752E+00   0.220023E-06  -0.406298E-02  -0.144208E-05
    55   0.159767E+04   0.141721E+00   0.000000E+00  -0.662218E+00   0.217810E-06  -0.395222E-02  -0.153228E-05
    56   0.161580E+04   0.150097E+00   0.000000E+00  -0.903928E+00   0.215621E-06  -0.384543E-02  -0.154683E-05
    57   0.163439E+04   0.158606E+00   0.000000E+00  -0.115617E+01   0.213458E-06  -0.374236E-02  -0.149851E-05
    58   0.165347E+04   0.167255E+00   0.000000E+00  -0.142023E+01   0.211318E-06  -0.364273E-02  -0.141039E-05
    59   0.167289E+04   0.176080E+00   0.000000E+00  -0.169741E+01   0.209204E-06  -0.354627E-02  -0.130547E-05
    60   0.169265E+04   0.185131E+00   0.000000E+00  -0.198759E+01   0.207112E-06  -0.345269E-02  -0.120673E-05
    61   0.171305E+04   0.194502E+00   0.000000E+00  -0.229034E+01   0.205045E-06  -0.336179E-02  -0.113211E-05
    62   0.173349E+04   0.204181E+00   0.000000E+00  -0.260637E+01   0.203001E-06  -0.327357E-02  -0.107959E-05
    63   0.175417E+04   0.214132E+00   0.000000E+00  -0.293632E+01   0.200981E-06  -0.318809E-02  -0.104217E-05
    64   0.177538E+04   0.224372E+00   0.000000E+00  -0.328104E+01   0.198987E-06  -0.310540E-02  -0.101287E-05
    65   0.179672E+04   0.234880E+00   0.000000E+00  -0.364081E+01   0.197018E-06  -0.302556E-02  -0.984701E-06
    66   0.181848E+04   0.245592E+00   0.000000E+00  -0.401348E+01   0.195075E-06  -0.294860E-02  -0.952660E-06
    67   0.184048E+04   0.256507E+00   0.000000E+00  -0.439641E+01   0.193157E-06  -0.287440E-02  -0.919552E-06
    68   0.186300E+04   0.267664E+00   0.000000E+00  -0.478812E+01   0.191265E-06  -0.280281E-02  -0.890132E-06
    69   0.188578E+04   0.279022E+00   0.000000E+00  -0.518704E+01   0.189398E-06  -0.273367E-02  -0.869151E-06
    70   0.190896E+04   0.290618E+00   0.000000E+00  -0.559504E+01   0.187555E-06  -0.266683E-02  -0.861351E-06
    71   0.193237E+04   0.302440E+00   0.000000E+00  -0.601464E+01   0.185738E-06  -0.260214E-02  -0.869970E-06
    72   0.195605E+04   0.314463E+00   0.000000E+00  -0.644710E+01   0.183944E-06  -0.253947E-02  -0.892236E-06
    73   0.197996E+04   0.326656E+00   0.000000E+00  -0.689282E+01   0.182173E-06  -0.247867E-02  -0.923877E-06
    74   0.200414E+04   0.339009E+00   0.000000E+00  -0.735076E+01   0.180425E-06  -0.241962E-02  -0.960629E-06
    75   0.202873E+04   0.351535E+00   0.000000E+00  -0.781926E+01   0.178698E-06  -0.236219E-02  -0.998231E-06
    76   0.205366E+04   0.364237E+00   0.000000E+00  -0.829757E+01   0.176992E-06  -0.230627E-02  -0.103238E-05
    77   0.207898E+04   0.377109E+00   0.000000E+00  -0.878570E+01   0.175307E-06  -0.225182E-02  -0.105859E-05
