#           k/h    P           
   0.100000E-03   0.532917E+03
   0.102020E-03   0.543241E+03
   0.104081E-03   0.553764E+03
   0.106184E-03   0.564492E+03
   0.108329E-03   0.575426E+03
   0.110517E-03   0.586573E+03
   0.112750E-03   0.597934E+03
   0.115027E-03   0.609516E+03
   0.117351E-03   0.621321E+03
   0.119722E-03   0.633355E+03
   0.122140E-03   0.645621E+03
   0.124608E-03   0.658124E+03
   0.127125E-03   0.670869E+03
   0.129693E-03   0.683860E+03
   0.132313E-03   0.697103E+03
   0.134986E-03   0.710601E+03
   0.137713E-03   0.724359E+03
   0.140495E-03   0.738384E+03
   0.143333E-03   0.752679E+03
   0.146228E-03   0.767250E+03
   0.149182E-03   0.782103E+03
   0.152196E-03   0.797242E+03
   0.155271E-03   0.812673E+03
   0.158407E-03   0.828403E+03
   0.161607E-03   0.844435E+03
   0.164872E-03   0.860777E+03
   0.168203E-03   0.877433E+03
   0.171601E-03   0.894411E+03
   0.175067E-03   0.911716E+03
   0.178604E-03   0.929355E+03
   0.182212E-03   0.947333E+03
   0.185893E-03   0.965658E+03
   0.189648E-03   0.984335E+03
   0.193479E-03   0.100337E+04
   0.197388E-03   0.102278E+04
   0.201375E-03   0.104255E+04
   0.205443E-03   0.106271E+04
   0.209594E-03   0.108325E+04
   0.213828E-03   0.110419E+04
   0.218147E-03   0.112553E+04
   0.222554E-03   0.114729E+04
   0.227050E-03   0.116946E+04
   0.231637E-03   0.119205E+04
   0.236316E-03   0.121508E+04
   0.241090E-03   0.123855E+04
   0.245960E-03   0.126247E+04
   0.250929E-03   0.128685E+04
   0.255998E-03   0.131169E+04
   0.261170E-03   0.133701E+04
   0.266446E-03   0.136282E+04
   0.271828E-03   0.138911E+04
   0.277319E-03   0.141592E+04
   0.282922E-03   0.144323E+04
   0.288637E-03   0.147106E+04
   0.294468E-03   0.149943E+04
   0.300417E-03   0.152834E+04
   0.306485E-03   0.155780E+04
   0.312677E-03   0.158781E+04
   0.318993E-03   0.161841E+04
   0.325437E-03   0.164958E+04
   0.332012E-03   0.168134E+04
   0.338719E-03   0.171371E+04
   0.345561E-03   0.174669E+04
   0.352542E-03   0.178030E+04
   0.359664E-03   0.181455E+04
   0.366930E-03   0.184944E+04
   0.374342E-03   0.188500E+04
   0.381904E-03   0.192122E+04
   0.389619E-03   0.195813E+04
   0.397490E-03   0.199574E+04
   0.405520E-03   0.203405E+04
   0.413712E-03   0.207309E+04
   0.422070E-03   0.211286E+04
   0.430596E-03   0.215338E+04
   0.439295E-03   0.219465E+04
   0.448169E-03   0.223671E+04
   0.457222E-03   0.227955E+04
   0.466459E-03   0.232319E+04
   0.475882E-03   0.236764E+04
   0.485496E-03   0.241293E+04
   0.495303E-03   0.245905E+04
   0.505309E-03   0.250604E+04
   0.515517E-03   0.255390E+04
   0.525931E-03   0.260265E+04
   0.536556E-03   0.265230E+04
   0.547395E-03   0.270287E+04
   0.558453E-03   0.275437E+04
   0.569734E-03   0.280682E+04
   0.581244E-03   0.286024E+04
   0.592986E-03   0.291463E+04
   0.604965E-03   0.297003E+04
   0.617186E-03   0.302644E+04
   0.629654E-03   0.308388E+04
   0.642374E-03   0.314237E+04
   0.655350E-03   0.320192E+04
   0.668589E-03   0.326256E+04
   0.682096E-03   0.332429E+04
   0.695875E-03   0.338714E+04
   0.709933E-03   0.345113E+04
   0.724274E-03   0.351626E+04
   0.738906E-03   0.358257E+04
   0.753832E-03   0.365007E+04
   0.769061E-03   0.371877E+04
   0.784597E-03   0.378870E+04
   0.800447E-03   0.385987E+04
   0.816617E-03   0.393230E+04
   0.833114E-03   0.400602E+04
   0.849944E-03   0.408104E+04
   0.867114E-03   0.415737E+04
   0.884631E-03   0.423505E+04
   0.902501E-03   0.431408E+04
   0.920733E-03   0.439449E+04
   0.939333E-03   0.447630E+04
   0.958309E-03   0.455953E+04
   0.977668E-03   0.464419E+04
   0.997418E-03   0.473030E+04
   0.101757E-02   0.481789E+04
   0.103812E-02   0.490698E+04
   0.105910E-02   0.499758E+04
   0.108049E-02   0.508971E+04
   0.110232E-02   0.518340E+04
   0.112459E-02   0.527866E+04
   0.114730E-02   0.537551E+04
   0.117048E-02   0.547397E+04
   0.119413E-02   0.557406E+04
   0.121825E-02   0.567580E+04
   0.124286E-02   0.577921E+04
   0.126797E-02   0.588430E+04
   0.129358E-02   0.599110E+04
   0.131971E-02   0.609962E+04
   0.134637E-02   0.620988E+04
   0.137357E-02   0.632190E+04
   0.140132E-02   0.643570E+04
   0.142963E-02   0.655129E+04
   0.145851E-02   0.666868E+04
   0.148797E-02   0.678791E+04
   0.151803E-02   0.690897E+04
   0.154870E-02   0.703190E+04
   0.157998E-02   0.715669E+04
   0.161190E-02   0.728337E+04
   0.164446E-02   0.741195E+04
   0.167768E-02   0.754244E+04
   0.171158E-02   0.767486E+04
   0.174615E-02   0.780922E+04
   0.178143E-02   0.794552E+04
   0.181741E-02   0.808379E+04
   0.185413E-02   0.822402E+04
   0.189158E-02   0.836623E+04
   0.192980E-02   0.851043E+04
   0.196878E-02   0.865662E+04
   0.200855E-02   0.880481E+04
   0.204913E-02   0.895500E+04
   0.209052E-02   0.910721E+04
   0.213276E-02   0.926142E+04
   0.217584E-02   0.941765E+04
   0.221979E-02   0.957590E+04
   0.226464E-02   0.973616E+04
   0.231039E-02   0.989843E+04
   0.235706E-02   0.100627E+05
   0.240467E-02   0.102290E+05
   0.245325E-02   0.103973E+05
   0.250281E-02   0.105676E+05
   0.255337E-02   0.107398E+05
   0.260495E-02   0.109141E+05
   0.265758E-02   0.110903E+05
   0.271126E-02   0.112685E+05
   0.276603E-02   0.114486E+05
   0.282191E-02   0.116306E+05
   0.287892E-02   0.118145E+05
   0.293708E-02   0.120003E+05
