#    L    TT             EE             TE             PP             TP          
     2   0.419812E+04   0.563710E-01   0.644964E+01   0.361766E+07  -0.180835E+06
     3   0.447443E+04   0.902154E-01   0.771523E+01   0.539871E+07  -0.239920E+06
     4   0.424946E+04   0.997007E-01   0.739791E+01   0.683232E+07  -0.271223E+06
     5   0.388668E+04   0.870443E-01   0.636443E+01   0.798805E+07  -0.286005E+06
     6   0.351668E+04   0.633043E-01   0.514339E+01   0.892110E+07  -0.291076E+06
     7   0.318279E+04   0.396679E-01   0.399608E+01   0.967918E+07  -0.290432E+06
     8   0.289594E+04   0.225663E-01   0.303528E+01   0.102974E+08  -0.286452E+06
     9   0.265376E+04   0.131533E-01   0.229659E+01   0.108031E+08  -0.280548E+06
    10   0.244910E+04   0.932912E-02   0.178267E+01   0.112158E+08  -0.273444E+06
    11   0.227592E+04   0.818964E-02   0.146896E+01   0.115544E+08  -0.265675E+06
    12   0.212991E+04   0.769422E-02   0.130742E+01   0.118284E+08  -0.257504E+06
    13   0.200568E+04   0.694280E-02   0.125171E+01   0.120479E+08  -0.249154E+06
    14   0.189915E+04   0.609697E-02   0.126039E+01   0.122228E+08  -0.240834E+06
    15   0.180803E+04   0.544315E-02   0.131155E+01   0.123596E+08  -0.232644E+06
    16   0.173047E+04   0.518865E-02   0.138616E+01   0.124637E+08  -0.224652E+06
    17   0.166480E+04   0.532011E-02   0.145387E+01   0.125400E+08  -0.216901E+06
    18   0.160868E+04   0.558766E-02   0.149126E+01   0.125928E+08  -0.209419E+06
    19   0.156158E+04   0.586470E-02   0.150698E+01   0.126245E+08  -0.202194E+06
    20   0.152060E+04   0.613809E-02   0.151331E+01   0.126373E+08  -0.195214E+06
    21   0.148537E+04   0.645803E-02   0.151929E+01   0.126342E+08  -0.188496E+06
    22   0.145559E+04   0.696171E-02   0.153000E+01   0.126180E+08  -0.182054E+06
    23   0.143043E+04   0.771160E-02   0.154277E+01   0.125901E+08  -0.175875E+06
    24   0.140935E+04   0.871006E-02   0.155498E+01   0.125518E+08  -0.169938E+06
    25   0.139185E+04   0.996502E-02   0.157179E+01   0.125045E+08  -0.164232E+06
    26   0.137735E+04   0.114439E-01   0.160023E+01   0.124496E+08  -0.158745E+06
    27   0.136582E+04   0.131108E-01   0.163989E+01   0.123882E+08  -0.153472E+06
    28   0.135685E+04   0.149549E-01   0.168777E+01   0.123212E+08  -0.148407E+06
    29   0.135027E+04   0.169559E-01   0.173280E+01   0.122487E+08  -0.143545E+06
    30   0.134579E+04   0.191058E-01   0.176370E+01   0.121710E+08  -0.138877E+06
    31   0.134310E+04   0.214180E-01   0.178264E+01   0.120891E+08  -0.134396E+06
    32   0.134230E+04   0.238948E-01   0.179398E+01   0.120043E+08  -0.130094E+06
    33   0.134325E+04   0.265221E-01   0.179733E+01   0.119169E+08  -0.125962E+06
    34   0.134563E+04   0.293011E-01   0.179177E+01   0.118272E+08  -0.121996E+06
    35   0.134934E+04   0.322645E-01   0.177581E+01   0.117355E+08  -0.118194E+06
    36   0.135423E+04   0.354513E-01   0.174750E+01   0.116422E+08  -0.114552E+06
    37   0.136017E+04   0.388624E-01   0.170737E+01   0.115475E+08  -0.111057E+06
    38   0.136733E+04   0.424973E-01   0.165839E+01   0.114519E+08  -0.107693E+06
    39   0.137561E+04   0.463584E-01   0.160199E+01   0.113554E+08  -0.104452E+06
    40   0.138470E+04   0.504546E-01   0.153902E+01   0.112581E+08  -0.101325E+06
    41   0.139467E+04   0.547980E-01   0.146966E+01   0.111603E+08  -0.983079E+05
    42   0.140523E+04   0.593934E-01   0.139226E+01   0.110621E+08  -0.953965E+05
    43   0.141649E+04   0.642435E-01   0.130471E+01   0.109636E+08  -0.925892E+05
    44   0.142827E+04   0.693362E-01   0.120582E+01   0.108651E+08  -0.898836E+05
    45   0.144087E+04   0.746700E-01   0.109446E+01   0.107666E+08  -0.872778E+05
    46   0.145420E+04   0.802457E-01   0.967992E+00   0.106683E+08  -0.847693E+05
    47   0.146809E+04   0.860619E-01   0.827625E+00   0.105703E+08  -0.823537E+05
    48   0.148244E+04   0.921233E-01   0.678197E+00   0.104727E+08  -0.800266E+05
    49   0.149731E+04   0.984126E-01   0.523946E+00   0.103756E+08  -0.777833E+05
    50   0.151292E+04   0.104905E+00   0.362330E+00   0.102790E+08  -0.756192E+05
    51   0.152902E+04   0.111572E+00   0.189253E+00   0.101830E+08  -0.735301E+05
    52   0.154580E+04   0.118501E+00   0.350808E-04   0.100877E+08  -0.715135E+05
    53   0.156286E+04   0.125842E+00  -0.208297E+00   0.999314E+07  -0.695671E+05
    54   0.158009E+04   0.133589E+00  -0.430752E+00   0.989927E+07  -0.676888E+05
    55   0.159767E+04   0.141721E+00  -0.662218E+00   0.980615E+07  -0.658763E+05
    56   0.161580E+04   0.150097E+00  -0.903928E+00   0.971381E+07  -0.641270E+05
    57   0.163439E+04   0.158606E+00  -0.115617E+01   0.962227E+07  -0.624371E+05
    58   0.165347E+04   0.167255E+00  -0.142023E+01   0.953151E+07  -0.608019E+05
    59   0.167289E+04   0.176080E+00  -0.169741E+01   0.944154E+07  -0.592173E+05
    60   0.169265E+04   0.185131E+00  -0.198759E+01   0.935236E+07  -0.576788E+05
    61   0.171305E+04   0.194502E+00  -0.229034E+01   0.926397E+07  -0.561829E+05
    62   0.173349E+04   0.204181E+00  -0.260637E+01   0.917640E+07  -0.547299E+05
    63   0.175417E+04   0.214132E+00  -0.293632E+01   0.908969E+07  -0.533208E+05
    64   0.177538E+04   0.224372E+00  -0.328104E+01   0.900389E+07  -0.519569E+05
    65   0.179672E+04   0.234880E+00  -0.364081E+01   0.891901E+07  -0.506391E+05
    66   0.181848E+04   0.245592E+00  -0.401348E+01   0.883509E+07  -0.493681E+05
    67   0.184048E+04   0.256507E+00  -0.439641E+01   0.875214E+07  -0.481419E+05
    68   0.186300E+04   0.267664E+00  -0.478812E+01   0.867016E+07  -0.469580E+05
    69   0.188578E+04   0.279022E+00  -0.518704E+01   0.858913E+07  -0.458141E+05
    70   0.190896E+04   0.290618E+00  -0.559504E+01   0.850906E+07  -0.447076E+05
    71   0.193237E+04   0.302440E+00  -0.601464E+01   0.842993E+07  -0.436361E+05
    72   0.195605E+04   0.314463E+00  -0.644710E+01   0.835174E+07  -0.425974E+05
    73   0.197996E+04   0.326656E+00  -0.689282E+01   0.827445E+07  -0.415893E+05
    74   0.200414E+04   0.339009E+00  -0.735076E+01   0.819802E+07  -0.406097E+05
    75   0.202873E+04   0.351535E+00  -0.781926E+01   0.812245E+07  -0.396564E+05
    76   0.205366E+04   0.364237E+00  -0.829757E+01   0.804770E+07  -0.387275E+05
    77   0.207898E+04   0.377109E+00  -0.878570E+01   0.797378E+07  -0.378229E+05
    78   0.210470E+04   0.390179E+00  -0.928532E+01   0.790068E+07  -0.369423E+05
    79   0.213062E+04   0.403394E+00  -0.979288E+01   0.782842E+07  -0.360859E+05
    80   0.215683E+04   0.416759E+00  -0.103101E+02   0.775698E+07  -0.352535E+05
    81   0.218320E+04   0.430227E+00  -0.108375E+02   0.768638E+07  -0.344452E+05
    82   0.220983E+04   0.443818E+00  -0.113744E+02   0.761662E+07  -0.336606E+05
    83   0.223666E+04   0.457506E+00  -0.119202E+02   0.754768E+07  -0.328991E+05
    84   0.226380E+04   0.471288E+00  -0.124730E+02   0.747958E+07  -0.321602E+05
    85   0.229111E+04   0.485138E+00  -0.130340E+02   0.741229E+07  -0.314435E+05
    86   0.231869E+04   0.499068E+00  -0.136020E+02   0.734583E+07  -0.307483E+05
    87   0.234676E+04   0.513050E+00  -0.141761E+02   0.728018E+07  -0.300738E+05
    88   0.237485E+04   0.527102E+00  -0.147565E+02   0.721533E+07  -0.294188E+05
    89   0.240333E+04   0.541212E+00  -0.153444E+02   0.715126E+07  -0.287823E+05
    90   0.243203E+04   0.555347E+00  -0.159371E+02   0.708796E+07  -0.281632E+05
    91   0.246087E+04   0.569502E+00  -0.165351E+02   0.702542E+07  -0.275606E+05
    92   0.249000E+04   0.583664E+00  -0.171378E+02   0.696362E+07  -0.269740E+05
    93   0.251942E+04   0.597827E+00  -0.177454E+02   0.690257E+07  -0.264030E+05
    94   0.254890E+04   0.611955E+00  -0.183563E+02   0.684224E+07  -0.258472E+05
    95   0.257868E+04   0.626049E+00  -0.189716E+02   0.678264E+07  -0.253062E+05
    96   0.260845E+04   0.640098E+00  -0.195904E+02   0.672375E+07  -0.247797E+05
    97   0.263866E+04   0.654087E+00  -0.202122E+02   0.666556E+07  -0.242673E+05
    98   0.266909E+04   0.668010E+00  -0.208348E+02   0.660806E+07  -0.237685E+05
    99   0.269960E+04   0.681832E+00  -0.214614E+02   0.655125E+07  -0.232831E+05
   100   0.273040E+04   0.695555E+00  -0.220874E+02   0.649512E+07  -0.228105E+05
   101   0.276136E+04   0.709239E+00  -0.227161E+02   0.643965E+07  -0.223506E+05
   102   0.279284E+04   0.722738E+00  -0.233452E+02   0.638484E+07  -0.219027E+05
   103   0.282424E+04   0.736127E+00  -0.239757E+02   0.633068E+07  -0.214667E+05
   104   0.285588E+04   0.749408E+00  -0.246045E+02   0.627716E+07  -0.210421E+05
   105   0.288768E+04   0.762508E+00  -0.252334E+02   0.622427E+07  -0.206285E+05
   106   0.291970E+04   0.775503E+00  -0.258616E+02   0.617200E+07  -0.202255E+05
   107   0.295166E+04   0.788246E+00  -0.264878E+02   0.612035E+07  -0.198328E+05
   108   0.298401E+04   0.800813E+00  -0.271127E+02   0.606929E+07  -0.194499E+05
   109   0.301651E+04   0.813131E+00  -0.277351E+02   0.601884E+07  -0.190765E+05
