#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113003E+04   0.340881E+01   0.338654E-02   0.340881E+01   0.547186E-01  -0.163423E-04   0.338654E-02  -0.163423E-04   0.478968E-07
     3   0.105109E+04   0.424821E+01   0.335945E-02   0.424821E+01   0.880646E-01  -0.198355E-04   0.335945E-02  -0.198355E-04   0.580833E-07
     4   0.978004E+03   0.434428E+01   0.326308E-02   0.434428E+01   0.975160E-01  -0.197744E-04   0.326308E-02  -0.197744E-04   0.667284E-07
     5   0.921796E+03   0.400512E+01   0.314178E-02   0.400512E+01   0.851623E-01  -0.171989E-04   0.314178E-02  -0.171989E-04   0.741792E-07
     6   0.881054E+03   0.346627E+01   0.301406E-02   0.346627E+01   0.619176E-01  -0.130912E-04   0.301406E-02  -0.130912E-04   0.806309E-07
     7   0.852724E+03   0.287423E+01   0.288854E-02   0.287423E+01   0.388140E-01  -0.836363E-05   0.288854E-02  -0.836363E-05   0.862658E-07
     8   0.833456E+03   0.232104E+01   0.276467E-02   0.232104E+01   0.221849E-01  -0.377446E-05   0.276467E-02  -0.377446E-05   0.912148E-07
     9   0.821196E+03   0.185156E+01   0.264247E-02   0.185156E+01   0.131219E-01   0.674990E-07   0.264247E-02   0.674990E-07   0.955863E-07
    10   0.814501E+03   0.148565E+01   0.252567E-02   0.148565E+01   0.949910E-02   0.274533E-05   0.252567E-02   0.274533E-05   0.994480E-07
    11   0.811794E+03   0.122998E+01   0.241917E-02   0.122998E+01   0.842003E-02   0.413527E-05   0.241917E-02   0.413527E-05   0.102891E-06
    12   0.813005E+03   0.108299E+01   0.232250E-02   0.108299E+01   0.787886E-02   0.440441E-05   0.232250E-02   0.440441E-05   0.105940E-06
    13   0.816359E+03   0.102344E+01   0.223411E-02   0.102344E+01   0.701859E-02   0.382763E-05   0.223411E-02   0.382763E-05   0.108639E-06
    14   0.820979E+03   0.102448E+01   0.215248E-02   0.102448E+01   0.604149E-02   0.268536E-05   0.215248E-02   0.268536E-05   0.111040E-06
    15   0.827153E+03   0.106327E+01   0.207596E-02   0.106327E+01   0.526202E-02   0.122944E-05   0.207596E-02   0.122944E-05   0.113171E-06
    16   0.835261E+03   0.112045E+01   0.200310E-02   0.112045E+01   0.491052E-02  -0.280220E-06   0.200310E-02  -0.280220E-06   0.115059E-06
    17   0.845166E+03   0.118329E+01   0.193375E-02   0.118329E+01   0.498896E-02  -0.152291E-05   0.193375E-02  -0.152291E-05   0.116730E-06
    18   0.855877E+03   0.124353E+01   0.186796E-02   0.124353E+01   0.525557E-02  -0.223751E-05   0.186796E-02  -0.223751E-05   0.118211E-06
    19   0.868250E+03   0.129746E+01   0.180570E-02   0.129746E+01   0.557021E-02  -0.246214E-05   0.180570E-02  -0.246214E-05   0.119510E-06
    20   0.880644E+03   0.134054E+01   0.174683E-02   0.134054E+01   0.590141E-02  -0.231868E-05   0.174683E-02  -0.231868E-05   0.120639E-06
    21   0.893401E+03   0.137444E+01   0.169098E-02   0.137444E+01   0.628354E-02  -0.196477E-05   0.169098E-02  -0.196477E-05   0.121617E-06
    22   0.906775E+03   0.140202E+01   0.163775E-02   0.140202E+01   0.684130E-02  -0.153780E-05   0.163775E-02  -0.153780E-05   0.122465E-06
    23   0.920554E+03   0.142943E+01   0.158683E-02   0.142943E+01   0.763563E-02  -0.105838E-05   0.158683E-02  -0.105838E-05   0.123191E-06
    24   0.934782E+03   0.146203E+01   0.153806E-02   0.146203E+01   0.866902E-02  -0.545158E-06   0.153806E-02  -0.545158E-06   0.123802E-06
    25   0.949435E+03   0.149869E+01   0.149169E-02   0.149869E+01   0.994510E-02  -0.125939E-06   0.149169E-02  -0.125939E-06   0.124308E-06
    26   0.964360E+03   0.153848E+01   0.144802E-02   0.153848E+01   0.114277E-01   0.710784E-07   0.144802E-02   0.710784E-07   0.124721E-06
    27   0.979766E+03   0.158053E+01   0.140688E-02   0.158053E+01   0.130843E-01   0.251666E-07   0.140688E-02   0.251666E-07   0.125049E-06
    28   0.995468E+03   0.162438E+01   0.136798E-02   0.162438E+01   0.149105E-01  -0.229426E-06   0.136798E-02  -0.229426E-06   0.125297E-06
    29   0.101150E+04   0.166608E+01   0.133086E-02   0.166608E+01   0.168950E-01  -0.546022E-06   0.133086E-02  -0.546022E-06   0.125468E-06
    30   0.102778E+04   0.170050E+01   0.129513E-02   0.170050E+01   0.190382E-01  -0.781496E-06   0.129513E-02  -0.781496E-06   0.125561E-06
    31   0.104420E+04   0.172761E+01   0.126096E-02   0.172761E+01   0.213524E-01  -0.919352E-06   0.126096E-02  -0.919352E-06   0.125587E-06
    32   0.106105E+04   0.174769E+01   0.122858E-02   0.174769E+01   0.238366E-01  -0.981809E-06   0.122858E-02  -0.981809E-06   0.125558E-06
    33   0.107831E+04   0.175725E+01   0.119777E-02   0.175725E+01   0.264728E-01  -0.101929E-05   0.119777E-02  -0.101929E-05   0.125476E-06
    34   0.109581E+04   0.175360E+01   0.116820E-02   0.175360E+01   0.292594E-01  -0.106889E-05   0.116820E-02  -0.106889E-05   0.125343E-06
    35   0.111349E+04   0.173801E+01   0.113936E-02   0.173801E+01   0.322303E-01  -0.108606E-05   0.113936E-02  -0.108606E-05   0.125165E-06
    36   0.113131E+04   0.171176E+01   0.111093E-02   0.171176E+01   0.354262E-01  -0.101776E-05   0.111093E-02  -0.101776E-05   0.124943E-06
    37   0.114924E+04   0.167602E+01   0.108333E-02   0.167602E+01   0.388480E-01  -0.858361E-06   0.108333E-02  -0.858361E-06   0.124683E-06
    38   0.116759E+04   0.163345E+01   0.105704E-02   0.163345E+01   0.424943E-01  -0.625485E-06   0.105704E-02  -0.625485E-06   0.124386E-06
    39   0.118633E+04   0.158386E+01   0.103211E-02   0.158386E+01   0.463657E-01  -0.382112E-06   0.103211E-02  -0.382112E-06   0.124055E-06
    40   0.120521E+04   0.152615E+01   0.100848E-02   0.152615E+01   0.504690E-01  -0.202566E-06   0.100848E-02  -0.202566E-06   0.123692E-06
    41   0.122436E+04   0.145906E+01   0.986039E-03   0.145906E+01   0.548149E-01  -0.141170E-06   0.986039E-03  -0.141170E-06   0.123298E-06
    42   0.124352E+04   0.138155E+01   0.964644E-03   0.138155E+01   0.594092E-01  -0.172228E-06   0.964644E-03  -0.172228E-06   0.122876E-06
    43   0.126284E+04   0.129265E+01   0.944117E-03   0.129265E+01   0.642565E-01  -0.250040E-06   0.944117E-03  -0.250040E-06   0.122427E-06
    44   0.128217E+04   0.119230E+01   0.924283E-03   0.119230E+01   0.693466E-01  -0.328908E-06   0.924283E-03  -0.328908E-06   0.121955E-06
    45   0.130187E+04   0.108049E+01   0.904965E-03   0.108049E+01   0.746795E-01  -0.363129E-06   0.904965E-03  -0.363129E-06   0.121460E-06
    46   0.132186E+04   0.955401E+00   0.886029E-03   0.955401E+00   0.802574E-01  -0.321125E-06   0.886029E-03  -0.321125E-06   0.120946E-06
    47   0.134199E+04   0.817757E+00   0.867490E-03   0.817757E+00   0.860778E-01  -0.227788E-06   0.867490E-03  -0.227788E-06   0.120414E-06
    48   0.136222E+04   0.671584E+00   0.849406E-03   0.671584E+00   0.921440E-01  -0.122129E-06   0.849406E-03  -0.122129E-06   0.119865E-06
    49   0.138263E+04   0.520313E+00   0.831833E-03   0.520313E+00   0.984370E-01  -0.431618E-07   0.831833E-03  -0.431618E-07   0.119301E-06
    50   0.140346E+04   0.360590E+00   0.814825E-03   0.360590E+00   0.104930E+00  -0.298973E-07   0.814825E-03  -0.298973E-07   0.118724E-06
    51   0.142449E+04   0.187748E+00   0.798420E-03   0.187748E+00   0.111595E+00  -0.108461E-06   0.798420E-03  -0.108461E-06   0.118133E-06
    52   0.144594E+04  -0.252236E-02   0.782571E-03  -0.252236E-02   0.118519E+00  -0.253427E-06   0.782571E-03  -0.253427E-06   0.117532E-06
    53   0.146740E+04  -0.212590E+00   0.767211E-03  -0.212590E+00   0.125853E+00  -0.426485E-06   0.767211E-03  -0.426485E-06   0.116919E-06
    54   0.148879E+04  -0.436857E+00   0.752274E-03  -0.436857E+00   0.133594E+00  -0.589322E-06   0.752274E-03  -0.589322E-06   0.116297E-06
    55   0.151030E+04  -0.669607E+00   0.737694E-03  -0.669607E+00   0.141723E+00  -0.703627E-06   0.737694E-03  -0.703627E-06   0.115666E-06
    56   0.153215E+04  -0.911615E+00   0.723431E-03  -0.911615E+00   0.150098E+00  -0.741321E-06   0.723431E-03  -0.741321E-06   0.115028E-06
    57   0.155426E+04  -0.116331E+01   0.709554E-03  -0.116331E+01   0.158608E+00  -0.715261E-06   0.709554E-03  -0.715261E-06   0.114381E-06
    58   0.157667E+04  -0.142627E+01   0.696158E-03  -0.142627E+01   0.167260E+00  -0.648535E-06   0.696158E-03  -0.648535E-06   0.113728E-06
    59   0.159925E+04  -0.170209E+01   0.683338E-03  -0.170209E+01   0.176089E+00  -0.564234E-06   0.683338E-03  -0.564234E-06   0.113068E-06
    60   0.162202E+04  -0.199093E+01   0.671189E-03  -0.199093E+01   0.185144E+00  -0.485447E-06   0.671189E-03  -0.485447E-06   0.112403E-06
    61   0.164529E+04  -0.229260E+01   0.659764E-03  -0.229260E+01   0.194516E+00  -0.430255E-06   0.659764E-03  -0.430255E-06   0.111731E-06
    62   0.166847E+04  -0.260782E+01   0.648938E-03  -0.260782E+01   0.204196E+00  -0.396708E-06   0.648938E-03  -0.396708E-06   0.111056E-06
    63   0.169175E+04  -0.293717E+01   0.638542E-03  -0.293717E+01   0.214148E+00  -0.377847E-06   0.638542E-03  -0.377847E-06   0.110376E-06
    64   0.171544E+04  -0.328145E+01   0.628408E-03  -0.328145E+01   0.224389E+00  -0.366713E-06   0.628408E-03  -0.366713E-06   0.109693E-06
    65   0.173913E+04  -0.364088E+01   0.618369E-03  -0.364088E+01   0.234896E+00  -0.356347E-06   0.618369E-03  -0.356347E-06   0.109009E-06
    66   0.176313E+04  -0.401328E+01   0.608293E-03  -0.401328E+01   0.245608E+00  -0.341739E-06   0.608293E-03  -0.341739E-06   0.108323E-06
    67   0.178725E+04  -0.439599E+01   0.598200E-03  -0.439599E+01   0.256523E+00  -0.325666E-06   0.598200E-03  -0.325666E-06   0.107636E-06
    68   0.181178E+04  -0.478754E+01   0.588145E-03  -0.478754E+01   0.267680E+00  -0.312853E-06   0.588145E-03  -0.312853E-06   0.106949E-06
    69   0.183648E+04  -0.518637E+01   0.578185E-03  -0.518637E+01   0.279038E+00  -0.308027E-06   0.578185E-03  -0.308027E-06   0.106261E-06
    70   0.186149E+04  -0.559435E+01   0.568378E-03  -0.559435E+01   0.290633E+00  -0.315911E-06   0.568378E-03  -0.315911E-06   0.105574E-06
    71   0.188664E+04  -0.601400E+01   0.558777E-03  -0.601400E+01   0.302454E+00  -0.339724E-06   0.558777E-03  -0.339724E-06   0.104888E-06
    72   0.191197E+04  -0.644655E+01   0.549429E-03  -0.644655E+01   0.314476E+00  -0.376657E-06   0.549429E-03  -0.376657E-06   0.104202E-06
    73   0.193747E+04  -0.689238E+01   0.540379E-03  -0.689238E+01   0.326667E+00  -0.422390E-06   0.540379E-03  -0.422390E-06   0.103517E-06
    74   0.196317E+04  -0.735042E+01   0.531672E-03  -0.735042E+01   0.339019E+00  -0.472606E-06   0.531672E-03  -0.472606E-06   0.102832E-06
    75   0.198921E+04  -0.781899E+01   0.523354E-03  -0.781899E+01   0.351544E+00  -0.522987E-06   0.523354E-03  -0.522987E-06   0.102149E-06
    76   0.201554E+04  -0.829730E+01   0.515451E-03  -0.829730E+01   0.364245E+00  -0.569197E-06   0.515451E-03  -0.569197E-06   0.101465E-06
    77   0.204219E+04  -0.878537E+01   0.507921E-03  -0.878537E+01   0.377117E+00  -0.606828E-06   0.507921E-03  -0.606828E-06   0.100783E-06
    78   0.206919E+04  -0.928485E+01   0.500702E-03  -0.928485E+01   0.390187E+00  -0.631454E-06   0.500702E-03  -0.631454E-06   0.100102E-06
    79   0.209634E+04  -0.979220E+01   0.493734E-03  -0.979220E+01   0.403402E+00  -0.638648E-06   0.493734E-03  -0.638648E-06   0.994232E-07
    80   0.212372E+04  -0.103091E+02   0.486955E-03  -0.103091E+02   0.416768E+00  -0.623984E-06   0.486955E-03  -0.623984E-06   0.987461E-07
    81   0.215122E+04  -0.108362E+02   0.480312E-03  -0.108362E+02   0.430237E+00  -0.585255E-06   0.480312E-03  -0.585255E-06   0.980712E-07
    82   0.217893E+04  -0.113726E+02   0.473783E-03  -0.113726E+02   0.443828E+00  -0.529135E-06   0.473783E-03  -0.529135E-06   0.973990E-07
    83   0.220679E+04  -0.119179E+02   0.467351E-03  -0.119179E+02   0.457518E+00  -0.464514E-06   0.467351E-03  -0.464514E-06   0.967295E-07
    84   0.223492E+04  -0.124704E+02   0.461000E-03  -0.124704E+02   0.471301E+00  -0.400286E-06   0.461000E-03  -0.400286E-06   0.960630E-07
    85   0.226318E+04  -0.130310E+02   0.454714E-03  -0.130310E+02   0.485151E+00  -0.345341E-06   0.454714E-03  -0.345341E-06   0.953996E-07
    86   0.229167E+04  -0.135987E+02   0.448483E-03  -0.135987E+02   0.499081E+00  -0.306587E-06   0.448483E-03  -0.306587E-06   0.947397E-07
    87   0.232061E+04  -0.141727E+02   0.442319E-03  -0.141727E+02   0.513063E+00  -0.282988E-06   0.442319E-03  -0.282988E-06   0.940833E-07
    88   0.234953E+04  -0.147529E+02   0.436240E-03  -0.147529E+02   0.527115E+00  -0.271522E-06   0.436240E-03  -0.271522E-06   0.934305E-07
    89   0.237881E+04  -0.153408E+02   0.430263E-03  -0.153408E+02   0.541225E+00  -0.269168E-06   0.430263E-03  -0.269168E-06   0.927813E-07
    90   0.240829E+04  -0.159334E+02   0.424406E-03  -0.159334E+02   0.555359E+00  -0.272903E-06   0.424406E-03  -0.272903E-06   0.921359E-07
    91   0.243787E+04  -0.165314E+02   0.418682E-03  -0.165314E+02   0.569514E+00  -0.280173E-06   0.418682E-03  -0.280173E-06   0.914944E-07
    92   0.246771E+04  -0.171341E+02   0.413091E-03  -0.171341E+02   0.583675E+00  -0.290297E-06   0.413091E-03  -0.290297E-06   0.908567E-07
    93   0.249782E+04  -0.177417E+02   0.407629E-03  -0.177417E+02   0.597837E+00  -0.303058E-06   0.407629E-03  -0.303058E-06   0.902229E-07
    94   0.252796E+04  -0.183527E+02   0.402291E-03  -0.183527E+02   0.611965E+00  -0.318242E-06   0.402291E-03  -0.318242E-06   0.895931E-07
    95   0.255837E+04  -0.189680E+02   0.397075E-03  -0.189680E+02   0.626059E+00  -0.335633E-06   0.397075E-03  -0.335633E-06   0.889673E-07
    96   0.258875E+04  -0.195870E+02   0.391975E-03  -0.195870E+02   0.640107E+00  -0.355016E-06   0.391975E-03  -0.355016E-06   0.883455E-07
    97   0.261955E+04  -0.202089E+02   0.386988E-03  -0.202089E+02   0.654096E+00  -0.376175E-06   0.386988E-03  -0.376175E-06   0.877278E-07
    98   0.265054E+04  -0.208316E+02   0.382109E-03  -0.208316E+02   0.668019E+00  -0.398896E-06   0.382109E-03  -0.398896E-06   0.871141E-07
    99   0.268159E+04  -0.214583E+02   0.377335E-03  -0.214583E+02   0.681841E+00  -0.422963E-06   0.377335E-03  -0.422963E-06   0.865045E-07
   100   0.271292E+04  -0.220845E+02   0.372661E-03  -0.220845E+02   0.695563E+00  -0.448160E-06   0.372661E-03  -0.448160E-06   0.858991E-07
   101   0.274437E+04  -0.227133E+02   0.368084E-03  -0.227133E+02   0.709247E+00  -0.474274E-06   0.368084E-03  -0.474274E-06   0.852979E-07
   102   0.277633E+04  -0.233425E+02   0.363599E-03  -0.233425E+02   0.722745E+00  -0.501087E-06   0.363599E-03  -0.501087E-06   0.847009E-07
