#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.995933E-05   0.202931E+08   0.202931E+08   0.270433E+08   0.270429E+08   0.202954E+08   0.202931E+08   0.202931E+08   0.203015E+08  -0.458552E+00   0.992896E+07   0.992896E+07   0.635779E+01
   0.110016E-04   0.202931E+08   0.202931E+08   0.270402E+08   0.270396E+08   0.202954E+08   0.202931E+08   0.202931E+08   0.203014E+08  -0.458552E+00   0.992896E+07   0.992896E+07   0.702290E+01
   0.121528E-04   0.202931E+08   0.202931E+08   0.270363E+08   0.270357E+08   0.202954E+08   0.202931E+08   0.202931E+08   0.203014E+08  -0.458552E+00   0.992895E+07   0.992895E+07   0.775755E+01
   0.134246E-04   0.202931E+08   0.202931E+08   0.270317E+08   0.270309E+08   0.202954E+08   0.202931E+08   0.202931E+08   0.203014E+08  -0.458552E+00   0.992895E+07   0.992894E+07   0.856897E+01
   0.148295E-04   0.202930E+08   0.202930E+08   0.270260E+08   0.270251E+08   0.202953E+08   0.202931E+08   0.202930E+08   0.203014E+08  -0.458551E+00   0.992894E+07   0.992894E+07   0.946517E+01
   0.163813E-04   0.202930E+08   0.202930E+08   0.270191E+08   0.270179E+08   0.202953E+08   0.202930E+08   0.202930E+08   0.203014E+08  -0.458551E+00   0.992893E+07   0.992893E+07   0.104550E+02
   0.180956E-04   0.202930E+08   0.202930E+08   0.270106E+08   0.270092E+08   0.202953E+08   0.202930E+08   0.202930E+08   0.203014E+08  -0.458550E+00   0.992892E+07   0.992892E+07   0.115481E+02
   0.199893E-04   0.202930E+08   0.202930E+08   0.270003E+08   0.269986E+08   0.202952E+08   0.202930E+08   0.202930E+08   0.203013E+08  -0.458550E+00   0.992891E+07   0.992891E+07   0.127553E+02
   0.220811E-04   0.202930E+08   0.202930E+08   0.269877E+08   0.269857E+08   0.202951E+08   0.202930E+08   0.202930E+08   0.203013E+08  -0.458549E+00   0.992890E+07   0.992890E+07   0.140884E+02
   0.243919E-04   0.202929E+08   0.202929E+08   0.269724E+08   0.269699E+08   0.202951E+08   0.202929E+08   0.202929E+08   0.203013E+08  -0.458548E+00   0.992888E+07   0.992888E+07   0.155604E+02
   0.269444E-04   0.202929E+08   0.202929E+08   0.269537E+08   0.269506E+08   0.202950E+08   0.202929E+08   0.202929E+08   0.203012E+08  -0.458547E+00   0.992886E+07   0.992886E+07   0.171856E+02
   0.297641E-04   0.202928E+08   0.202928E+08   0.269309E+08   0.269271E+08   0.202949E+08   0.202929E+08   0.202928E+08   0.203012E+08  -0.458545E+00   0.992884E+07   0.992883E+07   0.189798E+02
   0.328788E-04   0.202928E+08   0.202928E+08   0.269031E+08   0.268985E+08   0.202947E+08   0.202928E+08   0.202928E+08   0.203011E+08  -0.458544E+00   0.992880E+07   0.992880E+07   0.209603E+02
   0.363195E-04   0.202927E+08   0.202927E+08   0.268692E+08   0.268635E+08   0.202945E+08   0.202927E+08   0.202927E+08   0.203010E+08  -0.458541E+00   0.992877E+07   0.992876E+07   0.231460E+02
   0.401203E-04   0.202926E+08   0.202926E+08   0.268278E+08   0.268210E+08   0.202943E+08   0.202926E+08   0.202926E+08   0.203009E+08  -0.458539E+00   0.992872E+07   0.992872E+07   0.255578E+02
   0.443188E-04   0.202925E+08   0.202925E+08   0.267775E+08   0.267692E+08   0.202941E+08   0.202925E+08   0.202925E+08   0.203008E+08  -0.458536E+00   0.992867E+07   0.992866E+07   0.282184E+02
   0.489567E-04   0.202924E+08   0.202924E+08   0.267162E+08   0.267060E+08   0.202938E+08   0.202924E+08   0.202924E+08   0.203006E+08  -0.458532E+00   0.992860E+07   0.992859E+07   0.311526E+02
   0.540799E-04   0.202922E+08   0.202922E+08   0.266415E+08   0.266292E+08   0.202934E+08   0.202922E+08   0.202922E+08   0.203004E+08  -0.458527E+00   0.992852E+07   0.992851E+07   0.343873E+02
   0.597392E-04   0.202920E+08   0.202920E+08   0.265507E+08   0.265357E+08   0.202929E+08   0.202920E+08   0.202920E+08   0.203002E+08  -0.458521E+00   0.992842E+07   0.992841E+07   0.379518E+02
   0.659908E-04   0.202918E+08   0.202917E+08   0.264403E+08   0.264220E+08   0.202923E+08   0.202918E+08   0.202918E+08   0.202999E+08  -0.458514E+00   0.992829E+07   0.992828E+07   0.418774E+02
   0.728966E-04   0.202915E+08   0.202914E+08   0.263061E+08   0.262839E+08   0.202916E+08   0.202915E+08   0.202915E+08   0.202996E+08  -0.458505E+00   0.992814E+07   0.992813E+07   0.461980E+02
   0.805251E-04   0.202911E+08   0.202910E+08   0.261432E+08   0.261162E+08   0.202908E+08   0.202911E+08   0.202911E+08   0.202992E+08  -0.458495E+00   0.992796E+07   0.992795E+07   0.509495E+02
   0.889518E-04   0.202906E+08   0.202906E+08   0.259457E+08   0.259129E+08   0.202898E+08   0.202906E+08   0.202906E+08   0.202986E+08  -0.458482E+00   0.992774E+07   0.992772E+07   0.561695E+02
   0.982605E-04   0.202901E+08   0.202900E+08   0.257065E+08   0.256668E+08   0.202885E+08   0.202901E+08   0.202901E+08   0.202980E+08  -0.458467E+00   0.992746E+07   0.992744E+07   0.618974E+02
   0.108543E-03   0.202894E+08   0.202894E+08   0.254174E+08   0.253694E+08   0.202869E+08   0.202894E+08   0.202894E+08   0.202973E+08  -0.458448E+00   0.992713E+07   0.992711E+07   0.681733E+02
   0.119902E-03   0.202886E+08   0.202885E+08   0.250686E+08   0.250107E+08   0.202851E+08   0.202886E+08   0.202886E+08   0.202963E+08  -0.458424E+00   0.992673E+07   0.992670E+07   0.750370E+02
   0.132449E-03   0.202877E+08   0.202875E+08   0.246490E+08   0.245793E+08   0.202828E+08   0.202876E+08   0.202876E+08   0.202952E+08  -0.458396E+00   0.992624E+07   0.992620E+07   0.825271E+02
   0.146310E-03   0.202865E+08   0.202863E+08   0.241457E+08   0.240620E+08   0.202800E+08   0.202864E+08   0.202864E+08   0.202939E+08  -0.458362E+00   0.992564E+07   0.992560E+07   0.906783E+02
   0.161621E-03   0.202850E+08   0.202848E+08   0.235444E+08   0.234442E+08   0.202766E+08   0.202849E+08   0.202850E+08   0.202922E+08  -0.458321E+00   0.992491E+07   0.992486E+07   0.995193E+02
   0.178534E-03   0.202832E+08   0.202830E+08   0.228293E+08   0.227099E+08   0.202724E+08   0.202831E+08   0.202832E+08   0.202902E+08  -0.458271E+00   0.992402E+07   0.992396E+07   0.109069E+03
   0.197218E-03   0.202811E+08   0.202808E+08   0.219839E+08   0.218423E+08   0.202674E+08   0.202810E+08   0.202810E+08   0.202877E+08  -0.458210E+00   0.992294E+07   0.992287E+07   0.119332E+03
   0.217856E-03   0.202785E+08   0.202782E+08   0.209914E+08   0.208247E+08   0.202612E+08   0.202783E+08   0.202784E+08   0.202848E+08  -0.458137E+00   0.992163E+07   0.992154E+07   0.130292E+03
   0.240654E-03   0.202753E+08   0.202749E+08   0.198364E+08   0.196418E+08   0.202538E+08   0.202751E+08   0.202752E+08   0.202812E+08  -0.458048E+00   0.992004E+07   0.991994E+07   0.141906E+03
   0.265838E-03   0.202715E+08   0.202710E+08   0.185070E+08   0.182820E+08   0.202447E+08   0.202713E+08   0.202714E+08   0.202769E+08  -0.457942E+00   0.991811E+07   0.991799E+07   0.154093E+03
   0.293658E-03   0.202668E+08   0.202663E+08   0.169970E+08   0.167400E+08   0.202336E+08   0.202666E+08   0.202667E+08   0.202718E+08  -0.457814E+00   0.991578E+07   0.991563E+07   0.166729E+03
   0.324388E-03   0.202612E+08   0.202605E+08   0.153106E+08   0.150215E+08   0.202203E+08   0.202609E+08   0.202611E+08   0.202656E+08  -0.457661E+00   0.991296E+07   0.991278E+07   0.179628E+03
