#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113044E+04   0.548808E-01   0.000000E+00   0.339913E+01   0.488559E-07   0.343794E-02  -0.163874E-04
     3   0.105213E+04   0.883130E-01   0.000000E+00   0.425019E+01   0.594148E-07   0.341766E-02  -0.198897E-04
     4   0.979498E+03   0.977554E-01   0.000000E+00   0.435801E+01   0.684151E-07   0.332622E-02  -0.198381E-04
     5   0.923558E+03   0.853385E-01   0.000000E+00   0.402700E+01   0.762097E-07   0.320824E-02  -0.172795E-04
     6   0.882887E+03   0.620300E-01   0.000000E+00   0.349185E+01   0.829928E-07   0.308239E-02  -0.131638E-04
     7   0.854560E+03   0.388816E-01   0.000000E+00   0.290115E+01   0.889463E-07   0.295832E-02  -0.840229E-05
     8   0.835355E+03   0.222142E-01   0.000000E+00   0.234534E+01   0.942009E-07   0.283674E-02  -0.381774E-05
     9   0.823137E+03   0.131021E-01   0.000000E+00   0.187046E+01   0.988656E-07   0.271685E-02  -0.491247E-07
    10   0.816338E+03   0.941925E-02   0.000000E+00   0.150124E+01   0.103007E-06   0.260068E-02   0.256737E-05
    11   0.813385E+03   0.829258E-02   0.000000E+00   0.124573E+01   0.106719E-06   0.249330E-02   0.399275E-05
    12   0.814387E+03   0.773988E-02   0.000000E+00   0.110129E+01   0.110025E-06   0.239623E-02   0.432819E-05
    13   0.817562E+03   0.691092E-02   0.000000E+00   0.104367E+01   0.112969E-06   0.230810E-02   0.374456E-05
    14   0.821972E+03   0.600529E-02   0.000000E+00   0.104403E+01   0.115604E-06   0.222705E-02   0.246720E-05
    15   0.827878E+03   0.531399E-02   0.000000E+00   0.108322E+01   0.117959E-06   0.215027E-02   0.917234E-06
    16   0.835651E+03   0.504316E-02   0.000000E+00   0.114556E+01   0.120060E-06   0.207563E-02  -0.495493E-06
    17   0.845201E+03   0.518856E-02   0.000000E+00   0.121604E+01   0.121935E-06   0.200430E-02  -0.156984E-05
    18   0.855576E+03   0.550844E-02   0.000000E+00   0.128308E+01   0.123609E-06   0.193773E-02  -0.220188E-05
    19   0.867601E+03   0.586983E-02   0.000000E+00   0.134117E+01   0.125094E-06   0.187519E-02  -0.246670E-05
    20   0.879598E+03   0.625053E-02   0.000000E+00   0.138546E+01   0.126399E-06   0.181562E-02  -0.245789E-05
    21   0.891908E+03   0.669536E-02   0.000000E+00   0.142198E+01   0.127545E-06   0.175840E-02  -0.217275E-05
    22   0.904802E+03   0.733638E-02   0.000000E+00   0.145705E+01   0.128552E-06   0.170326E-02  -0.162425E-05
    23   0.918090E+03   0.822817E-02   0.000000E+00   0.149229E+01   0.129430E-06   0.165061E-02  -0.982667E-06
    24   0.931828E+03   0.936652E-02   0.000000E+00   0.152843E+01   0.130185E-06   0.160087E-02  -0.438969E-06
    25   0.945955E+03   0.107607E-01   0.000000E+00   0.156729E+01   0.130829E-06   0.155391E-02  -0.116197E-06
    26   0.960282E+03   0.123793E-01   0.000000E+00   0.161144E+01   0.131372E-06   0.150939E-02  -0.759395E-07
    27   0.975041E+03   0.141782E-01   0.000000E+00   0.165794E+01   0.131824E-06   0.146698E-02  -0.203701E-06
    28   0.990084E+03   0.161445E-01   0.000000E+00   0.170400E+01   0.132191E-06   0.142641E-02  -0.367315E-06
    29   0.100547E+04   0.182876E-01   0.000000E+00   0.174767E+01   0.132473E-06   0.138781E-02  -0.535764E-06
    30   0.102110E+04   0.206242E-01   0.000000E+00   0.178584E+01   0.132672E-06   0.135130E-02  -0.708649E-06
    31   0.103685E+04   0.231394E-01   0.000000E+00   0.181617E+01   0.132798E-06   0.131659E-02  -0.907206E-06
    32   0.105297E+04   0.258072E-01   0.000000E+00   0.183638E+01   0.132863E-06   0.128327E-02  -0.113667E-05
    33   0.106947E+04   0.286383E-01   0.000000E+00   0.184376E+01   0.132870E-06   0.125096E-02  -0.131730E-05
    34   0.108616E+04   0.316623E-01   0.000000E+00   0.183752E+01   0.132823E-06   0.121936E-02  -0.136376E-05
