#    L    TT             EE             TE             PP             TP          
     2   0.113044E+04   0.548808E-01   0.339913E+01   0.101346E+07   0.320470E+05
     3   0.105213E+04   0.883130E-01   0.425019E+01   0.155987E+07   0.380143E+05
     4   0.979498E+03   0.977554E-01   0.435801E+01   0.204364E+07   0.407579E+05
     5   0.923558E+03   0.853385E-01   0.402700E+01   0.247013E+07   0.417947E+05
     6   0.882887E+03   0.620300E-01   0.349185E+01   0.284590E+07   0.418883E+05
     7   0.854560E+03   0.388816E-01   0.290115E+01   0.317846E+07   0.414652E+05
     8   0.835355E+03   0.222142E-01   0.234534E+01   0.347394E+07   0.407115E+05
     9   0.823137E+03   0.131021E-01   0.187046E+01   0.373768E+07   0.397242E+05
    10   0.816338E+03   0.941925E-02   0.150124E+01   0.397334E+07   0.386033E+05
    11   0.813385E+03   0.829258E-02   0.124573E+01   0.418542E+07   0.374729E+05
    12   0.814387E+03   0.773988E-02   0.110129E+01   0.437562E+07   0.363925E+05
    13   0.817562E+03   0.691092E-02   0.104367E+01   0.454636E+07   0.353674E+05
    14   0.821972E+03   0.600529E-02   0.104403E+01   0.470022E+07   0.343884E+05
    15   0.827878E+03   0.531399E-02   0.108322E+01   0.483888E+07   0.334253E+05
    16   0.835651E+03   0.504316E-02   0.114556E+01   0.496377E+07   0.324551E+05
    17   0.845201E+03   0.518856E-02   0.121604E+01   0.507636E+07   0.315031E+05
    18   0.855576E+03   0.550844E-02   0.128308E+01   0.517799E+07   0.305983E+05
    19   0.867601E+03   0.586983E-02   0.134117E+01   0.526934E+07   0.297343E+05
    20   0.879598E+03   0.625053E-02   0.138546E+01   0.535102E+07   0.288979E+05
    21   0.891908E+03   0.669536E-02   0.142198E+01   0.542409E+07   0.280827E+05
    22   0.904802E+03   0.733638E-02   0.145705E+01   0.548960E+07   0.272866E+05
    23   0.918090E+03   0.822817E-02   0.149229E+01   0.554805E+07   0.265182E+05
    24   0.931828E+03   0.936652E-02   0.152843E+01   0.559986E+07   0.257864E+05
    25   0.945955E+03   0.107607E-01   0.156729E+01   0.564560E+07   0.250900E+05
    26   0.960282E+03   0.123793E-01   0.161144E+01   0.568586E+07   0.244254E+05
    27   0.975041E+03   0.141782E-01   0.165794E+01   0.572109E+07   0.237880E+05
    28   0.990084E+03   0.161445E-01   0.170400E+01   0.575168E+07   0.231744E+05
    29   0.100547E+04   0.182876E-01   0.174767E+01   0.577769E+07   0.225876E+05
    30   0.102110E+04   0.206242E-01   0.178584E+01   0.579924E+07   0.220302E+05
    31   0.103685E+04   0.231394E-01   0.181617E+01   0.581685E+07   0.214978E+05
    32   0.105297E+04   0.258072E-01   0.183638E+01   0.583107E+07   0.209846E+05
    33   0.106947E+04   0.286383E-01   0.184376E+01   0.584212E+07   0.204844E+05
    34   0.108616E+04   0.316623E-01   0.183752E+01   0.585014E+07   0.199928E+05
    35   0.110302E+04   0.349009E-01   0.182195E+01   0.585535E+07   0.195118E+05
    36   0.111996E+04   0.383750E-01   0.179995E+01   0.585795E+07   0.190458E+05
    37   0.113702E+04   0.420772E-01   0.176763E+01   0.585813E+07   0.186024E+05
    38   0.115451E+04   0.460039E-01   0.172274E+01   0.585607E+07   0.181869E+05
    39   0.117239E+04   0.501667E-01   0.166736E+01   0.585188E+07   0.177941E+05
    40   0.119039E+04   0.545861E-01   0.160446E+01   0.584568E+07   0.174158E+05
    41   0.120861E+04   0.592833E-01   0.153585E+01   0.583758E+07   0.170457E+05
    42   0.122681E+04   0.642592E-01   0.145963E+01   0.582770E+07   0.166834E+05
    43   0.124515E+04   0.695101E-01   0.137298E+01   0.581617E+07   0.163303E+05
    44   0.126347E+04   0.750172E-01   0.127397E+01   0.580310E+07   0.159879E+05
    45   0.128217E+04   0.807720E-01   0.116074E+01   0.578862E+07   0.156574E+05
    46   0.130117E+04   0.867711E-01   0.103019E+01   0.577284E+07   0.153398E+05
    47   0.132032E+04   0.930171E-01   0.884087E+00   0.575586E+07   0.150332E+05
    48   0.133956E+04   0.995211E-01   0.728100E+00   0.573776E+07   0.147354E+05
    49   0.135896E+04   0.106272E+00   0.567285E+00   0.571862E+07   0.144442E+05
    50   0.137876E+04   0.113252E+00   0.399922E+00   0.569852E+07   0.141573E+05
    51   0.139872E+04   0.120436E+00   0.222465E+00   0.567755E+07   0.138731E+05
    52   0.141908E+04   0.127907E+00   0.296955E-01   0.565575E+07   0.135936E+05
    53   0.143943E+04   0.135808E+00  -0.182170E+00   0.563318E+07   0.133216E+05
    54   0.145972E+04   0.144127E+00  -0.408950E+00   0.560990E+07   0.130596E+05
    55   0.148013E+04   0.152836E+00  -0.646345E+00   0.558596E+07   0.128105E+05
    56   0.150090E+04   0.161789E+00  -0.896145E+00   0.556140E+07   0.125761E+05
    57   0.152195E+04   0.170879E+00  -0.115818E+01   0.553626E+07   0.123547E+05
    58   0.154330E+04   0.180118E+00  -0.143304E+01   0.551058E+07   0.121438E+05
    59   0.156482E+04   0.189548E+00  -0.172132E+01   0.548437E+07   0.119408E+05
    60   0.158651E+04   0.199225E+00  -0.202218E+01   0.545768E+07   0.117431E+05
    61   0.160869E+04   0.209245E+00  -0.233468E+01   0.543054E+07   0.115487E+05
    62   0.163075E+04   0.219594E+00  -0.265978E+01   0.540299E+07   0.113566E+05
    63   0.165291E+04   0.230228E+00  -0.299858E+01   0.537508E+07   0.111666E+05
    64   0.167547E+04   0.241158E+00  -0.335236E+01   0.534686E+07   0.109780E+05
    65   0.169804E+04   0.252355E+00  -0.372184E+01   0.531837E+07   0.107906E+05
    66   0.172092E+04   0.263752E+00  -0.410519E+01   0.528967E+07   0.106043E+05
    67   0.174394E+04   0.275349E+00  -0.449959E+01   0.526078E+07   0.104203E+05
    68   0.176739E+04   0.287187E+00  -0.490324E+01   0.523172E+07   0.102405E+05
    69   0.179102E+04   0.299228E+00  -0.531428E+01   0.520251E+07   0.100666E+05
    70   0.181498E+04   0.311511E+00  -0.573426E+01   0.517318E+07   0.990016E+04
    71   0.183910E+04   0.324028E+00  -0.616548E+01   0.514375E+07   0.974254E+04
    72   0.186342E+04   0.336750E+00  -0.660938E+01   0.511422E+07   0.959289E+04
    73   0.188789E+04   0.349645E+00  -0.706664E+01   0.508460E+07   0.944993E+04
    74   0.191256E+04   0.362700E+00  -0.753649E+01   0.505489E+07   0.931235E+04
    75   0.193755E+04   0.375927E+00  -0.801753E+01   0.502510E+07   0.917884E+04
    76   0.196279E+04   0.389326E+00  -0.850920E+01   0.499523E+07   0.904823E+04
    77   0.198834E+04   0.402889E+00  -0.901132E+01   0.496531E+07   0.891983E+04
    78   0.201424E+04   0.416641E+00  -0.952529E+01   0.493534E+07   0.879307E+04
    79   0.204031E+04   0.430528E+00  -0.100473E+02   0.490535E+07   0.866739E+04
    80   0.206665E+04   0.444553E+00  -0.105787E+02   0.487536E+07   0.854221E+04
    81   0.209316E+04   0.458667E+00  -0.111200E+02   0.484539E+07   0.841721E+04
    82   0.211992E+04   0.472890E+00  -0.116701E+02   0.481545E+07   0.829296E+04
    83   0.214687E+04   0.487197E+00  -0.122287E+02   0.478556E+07   0.817024E+04
    84   0.217409E+04   0.501586E+00  -0.127937E+02   0.475572E+07   0.804985E+04
    85   0.220145E+04   0.516032E+00  -0.133663E+02   0.472596E+07   0.793260E+04
    86   0.222904E+04   0.530546E+00  -0.139454E+02   0.469628E+07   0.781909E+04
    87   0.225707E+04   0.545099E+00  -0.145301E+02   0.466669E+07   0.770921E+04
    88   0.228509E+04   0.559706E+00  -0.151206E+02   0.463721E+07   0.760264E+04
    89   0.231346E+04   0.574351E+00  -0.157185E+02   0.460782E+07   0.749907E+04
    90   0.234204E+04   0.588999E+00  -0.163209E+02   0.457856E+07   0.739821E+04
