#    L    TT             EE             BB             TE          
     2   0.113325E+04   0.548420E-01   0.124946E-05   0.340474E+01
     3   0.105360E+04   0.881474E-01   0.249945E-05   0.424094E+01
     4   0.979949E+03   0.974794E-01   0.416694E-05   0.433418E+01
     5   0.923311E+03   0.850143E-01   0.625261E-05   0.399361E+01
     6   0.882247E+03   0.617245E-01   0.875735E-05   0.345495E+01
     7   0.853681E+03   0.386485E-01   0.116822E-04   0.286424E+01
     8   0.834230E+03   0.220891E-01   0.150282E-04   0.231302E+01
     9   0.821827E+03   0.130988E-01   0.187968E-04   0.184588E+01
    10   0.815030E+03   0.952568E-02   0.229894E-04   0.148211E+01
    11   0.812257E+03   0.846784E-02   0.276074E-04   0.122803E+01
    12   0.813429E+03   0.792835E-02   0.326526E-04   0.108185E+01
    13   0.816759E+03   0.706232E-02   0.381266E-04   0.102267E+01
    14   0.821361E+03   0.608212E-02   0.440312E-04   0.102398E+01
    15   0.827522E+03   0.530383E-02   0.503683E-04   0.106284E+01
    16   0.835622E+03   0.495686E-02   0.571397E-04   0.111972E+01
    17   0.845522E+03   0.504063E-02   0.643473E-04   0.118195E+01
    18   0.856228E+03   0.531119E-02   0.719929E-04   0.124144E+01
    19   0.868593E+03   0.562938E-02   0.800785E-04   0.129481E+01
    20   0.880976E+03   0.596504E-02   0.886058E-04   0.133771E+01
    21   0.893718E+03   0.635186E-02   0.975767E-04   0.137151E+01
    22   0.907077E+03   0.691377E-02   0.106993E-03   0.139877E+01
    23   0.920838E+03   0.771247E-02   0.116856E-03   0.142582E+01
    24   0.935043E+03   0.875109E-02   0.127167E-03   0.145827E+01
    25   0.949670E+03   0.100319E-01   0.137929E-03   0.149494E+01
    26   0.964569E+03   0.115175E-01   0.149141E-03   0.153479E+01
    27   0.979946E+03   0.131774E-01   0.160806E-03   0.157698E+01
    28   0.995617E+03   0.150086E-01   0.172925E-03   0.162108E+01
    29   0.101162E+04   0.169978E-01   0.185498E-03   0.166303E+01
    30   0.102786E+04   0.191426E-01   0.198526E-03   0.169759E+01
    31   0.104424E+04   0.214571E-01   0.212010E-03   0.172479E+01
    32   0.106104E+04   0.239424E-01   0.225951E-03   0.174501E+01
    33   0.107827E+04   0.265799E-01   0.240348E-03   0.175493E+01
    34   0.109571E+04   0.293671E-01   0.255201E-03   0.175193E+01
    35   0.111336E+04   0.323368E-01   0.270512E-03   0.173692E+01
    36   0.113113E+04   0.355291E-01   0.286279E-03   0.171087E+01
    37   0.114902E+04   0.389475E-01   0.302503E-03   0.167526E+01
    38   0.116732E+04   0.425929E-01   0.319182E-03   0.163313E+01
    39   0.118602E+04   0.464645E-01   0.336316E-03   0.158420E+01
