#    L    TT             EE             TE             PP             TP          
     2   0.113325E+04   0.548407E-01   0.340474E+01   0.995522E+06   0.317457E+05
     3   0.105359E+04   0.881449E-01   0.424094E+01   0.152897E+07   0.375994E+05
     4   0.979939E+03   0.974752E-01   0.433418E+01   0.199971E+07   0.402574E+05
     5   0.923297E+03   0.850081E-01   0.399361E+01   0.241340E+07   0.412309E+05
     6   0.882227E+03   0.617157E-01   0.345495E+01   0.277673E+07   0.412826E+05
     7   0.853655E+03   0.386368E-01   0.286424E+01   0.309730E+07   0.408246E+05
     8   0.834197E+03   0.220741E-01   0.231302E+01   0.338126E+07   0.400229E+05
     9   0.821786E+03   0.130800E-01   0.184589E+01   0.363396E+07   0.389844E+05
    10   0.814979E+03   0.950269E-02   0.148212E+01   0.385905E+07   0.378359E+05
    11   0.812197E+03   0.844024E-02   0.122804E+01   0.406099E+07   0.367018E+05
    12   0.813358E+03   0.789570E-02   0.108187E+01   0.424151E+07   0.356113E+05
    13   0.816677E+03   0.702420E-02   0.102269E+01   0.440301E+07   0.345641E+05
    14   0.821266E+03   0.603810E-02   0.102401E+01   0.454803E+07   0.335565E+05
    15   0.827415E+03   0.525347E-02   0.106288E+01   0.467824E+07   0.325772E+05
    16   0.835501E+03   0.489973E-02   0.111977E+01   0.479506E+07   0.316163E+05
    17   0.845387E+03   0.497631E-02   0.118201E+01   0.489994E+07   0.306774E+05
    18   0.856077E+03   0.523923E-02   0.124152E+01   0.499419E+07   0.297671E+05
    19   0.868427E+03   0.554935E-02   0.129490E+01   0.507849E+07   0.288887E+05
    20   0.880793E+03   0.587649E-02   0.133782E+01   0.515346E+07   0.280443E+05
    21   0.893518E+03   0.625436E-02   0.137164E+01   0.522013E+07   0.272321E+05
    22   0.906860E+03   0.680689E-02   0.139892E+01   0.527952E+07   0.264493E+05
    23   0.920603E+03   0.759576E-02   0.142600E+01   0.533213E+07   0.256923E+05
    24   0.934789E+03   0.862410E-02   0.145849E+01   0.537836E+07   0.249594E+05
    25   0.949397E+03   0.989416E-02   0.149519E+01   0.541879E+07   0.242562E+05
    26   0.964276E+03   0.113686E-01   0.153508E+01   0.545398E+07   0.235886E+05
    27   0.979633E+03   0.130169E-01   0.157731E+01   0.548438E+07   0.229560E+05
    28   0.995283E+03   0.148361E-01   0.162145E+01   0.551035E+07   0.223550E+05
    29   0.101126E+04   0.168128E-01   0.166345E+01   0.553197E+07   0.217780E+05
    30   0.102748E+04   0.189447E-01   0.169806E+01   0.554936E+07   0.212188E+05
    31   0.104384E+04   0.212459E-01   0.172531E+01   0.556302E+07   0.206810E+05
    32   0.106062E+04   0.237174E-01   0.174559E+01   0.557349E+07   0.201688E+05
    33   0.107782E+04   0.263407E-01   0.175557E+01   0.558096E+07   0.196800E+05
    34   0.109525E+04   0.291133E-01   0.175264E+01   0.558558E+07   0.192096E+05
    35   0.111287E+04   0.320678E-01   0.173771E+01   0.558756E+07   0.187499E+05
    36   0.113062E+04   0.352447E-01   0.171172E+01   0.558709E+07   0.182949E+05
    37   0.114849E+04   0.386472E-01   0.167619E+01   0.558437E+07   0.178511E+05
    38   0.116676E+04   0.422763E-01   0.163414E+01   0.557955E+07   0.174262E+05
    39   0.118543E+04   0.461311E-01   0.158530E+01   0.557276E+07   0.170217E+05
    40   0.120424E+04   0.502161E-01   0.152838E+01   0.556410E+07   0.166373E+05
    41   0.122331E+04   0.545399E-01   0.146199E+01   0.555367E+07   0.162724E+05
    42   0.124240E+04   0.591093E-01   0.138513E+01   0.554160E+07   0.159244E+05
    43   0.126166E+04   0.639301E-01   0.129690E+01   0.552801E+07   0.155903E+05
    44   0.128092E+04   0.689933E-01   0.119730E+01   0.551300E+07   0.152668E+05
    45   0.130055E+04   0.743004E-01   0.108640E+01   0.549669E+07   0.149511E+05
    46   0.132047E+04   0.798545E-01   0.962432E+00   0.547921E+07   0.146406E+05
    47   0.134054E+04   0.856521E-01   0.826062E+00   0.546063E+07   0.143359E+05
    48   0.136071E+04   0.916953E-01   0.681235E+00   0.544103E+07   0.140382E+05
    49   0.138105E+04   0.979638E-01   0.531300E+00   0.542049E+07   0.137485E+05
    50   0.140181E+04   0.104430E+00   0.372824E+00   0.539909E+07   0.134681E+05
    51   0.142277E+04   0.111064E+00   0.201085E+00   0.537690E+07   0.131978E+05
    52   0.144415E+04   0.117953E+00   0.118224E-01   0.535397E+07   0.129366E+05
    53   0.146554E+04   0.125252E+00  -0.197253E+00   0.533037E+07   0.126833E+05
    54   0.148685E+04   0.132957E+00  -0.420465E+00   0.530613E+07   0.124366E+05
    55   0.150829E+04   0.141049E+00  -0.652022E+00   0.528130E+07   0.121953E+05
    56   0.153006E+04   0.149389E+00  -0.892642E+00   0.525594E+07   0.119586E+05
    57   0.155210E+04   0.157865E+00  -0.114279E+01   0.523007E+07   0.117277E+05
    58   0.157443E+04   0.166483E+00  -0.140409E+01   0.520372E+07   0.115044E+05
    59   0.159693E+04   0.175278E+00  -0.167820E+01   0.517693E+07   0.112904E+05
    60   0.161963E+04   0.184297E+00  -0.196533E+01   0.514971E+07   0.110876E+05
    61   0.164283E+04   0.193633E+00  -0.226533E+01   0.512211E+07   0.108970E+05
