#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113325E+04   0.340474E+01   0.340561E-02   0.340474E+01   0.548407E-01  -0.163499E-04   0.340561E-02  -0.163499E-04   0.479911E-07
     3   0.105359E+04   0.424094E+01   0.338036E-02   0.424094E+01   0.881449E-01  -0.198300E-04   0.338036E-02  -0.198300E-04   0.582375E-07
     4   0.979939E+03   0.433418E+01   0.328537E-02   0.433418E+01   0.974752E-01  -0.197508E-04   0.328537E-02  -0.197508E-04   0.669446E-07
     5   0.923297E+03   0.399361E+01   0.316497E-02   0.399361E+01   0.850081E-01  -0.171562E-04   0.316497E-02  -0.171562E-04   0.744593E-07
     6   0.882227E+03   0.345495E+01   0.303781E-02   0.345495E+01   0.617157E-01  -0.130336E-04   0.303781E-02  -0.130336E-04   0.809757E-07
     7   0.853655E+03   0.286424E+01   0.291262E-02   0.286424E+01   0.386368E-01  -0.830073E-05   0.291262E-02  -0.830073E-05   0.866751E-07
     8   0.834197E+03   0.231302E+01   0.278876E-02   0.231302E+01   0.220741E-01  -0.371447E-05   0.278876E-02  -0.371447E-05   0.916878E-07
     9   0.821786E+03   0.184589E+01   0.266625E-02   0.184589E+01   0.130800E-01   0.122680E-06   0.266625E-02   0.122680E-06   0.961219E-07
    10   0.814979E+03   0.148212E+01   0.254898E-02   0.148212E+01   0.950269E-02   0.279527E-05   0.254898E-02   0.279527E-05   0.100044E-06
    11   0.812197E+03   0.122804E+01   0.244199E-02   0.122804E+01   0.844024E-02   0.417359E-05   0.244199E-02   0.417359E-05   0.103547E-06
    12   0.813358E+03   0.108187E+01   0.234477E-02   0.108187E+01   0.789570E-02   0.442175E-05   0.234477E-02   0.442175E-05   0.106653E-06
    13   0.816677E+03   0.102269E+01   0.225567E-02   0.102269E+01   0.702420E-02   0.382632E-05   0.225567E-02   0.382632E-05   0.109407E-06
    14   0.821266E+03   0.102401E+01   0.217317E-02   0.102401E+01   0.603810E-02   0.267885E-05   0.217317E-02   0.267885E-05   0.111861E-06
    15   0.827415E+03   0.106288E+01   0.209571E-02   0.106288E+01   0.525347E-02   0.122520E-05   0.209571E-02   0.122520E-05   0.114043E-06
    16   0.835501E+03   0.111977E+01   0.202198E-02   0.111977E+01   0.489973E-02  -0.283720E-06   0.202198E-02  -0.283720E-06   0.115979E-06
    17   0.845387E+03   0.118201E+01   0.195177E-02   0.118201E+01   0.497631E-02  -0.153108E-05   0.195177E-02  -0.153108E-05   0.117697E-06
    18   0.856077E+03   0.124152E+01   0.188509E-02   0.124152E+01   0.523923E-02  -0.225563E-05   0.188509E-02  -0.225563E-05   0.119222E-06
    19   0.868427E+03   0.129490E+01   0.182187E-02   0.129490E+01   0.554935E-02  -0.248439E-05   0.182187E-02  -0.248439E-05   0.120563E-06
    20   0.880793E+03   0.133782E+01   0.176199E-02   0.133782E+01   0.587649E-02  -0.233062E-05   0.176199E-02  -0.233062E-05   0.121732E-06
    21   0.893518E+03   0.137164E+01   0.170514E-02   0.137164E+01   0.625436E-02  -0.196429E-05   0.170514E-02  -0.196429E-05   0.122748E-06
    22   0.906860E+03   0.139892E+01   0.165099E-02   0.139892E+01   0.680689E-02  -0.153658E-05   0.165099E-02  -0.153658E-05   0.123632E-06
    23   0.920603E+03   0.142600E+01   0.159920E-02   0.142600E+01   0.759576E-02  -0.106682E-05   0.159920E-02  -0.106682E-05   0.124393E-06
    24   0.934789E+03   0.145849E+01   0.154953E-02   0.145849E+01   0.862410E-02  -0.567663E-06   0.154953E-02  -0.567663E-06   0.125036E-06
    25   0.949397E+03   0.149519E+01   0.150227E-02   0.149519E+01   0.989416E-02  -0.156917E-06   0.150227E-02  -0.156917E-06   0.125573E-06
    26   0.964276E+03   0.153508E+01   0.145768E-02   0.153508E+01   0.113686E-01   0.441260E-07   0.145768E-02   0.441260E-07   0.126015E-06
    27   0.979633E+03   0.157731E+01   0.141567E-02   0.157731E+01   0.130169E-01   0.534843E-08   0.141567E-02   0.534843E-08   0.126370E-06
    28   0.995283E+03   0.162145E+01   0.137597E-02   0.162145E+01   0.148361E-01  -0.249738E-06   0.137597E-02  -0.249738E-06   0.126645E-06
    29   0.101126E+04   0.166345E+01   0.133806E-02   0.166345E+01   0.168128E-01  -0.574289E-06   0.133806E-02  -0.574289E-06   0.126839E-06
    30   0.102748E+04   0.169806E+01   0.130153E-02   0.169806E+01   0.189447E-01  -0.820992E-06   0.130153E-02  -0.820992E-06   0.126956E-06
    31   0.104384E+04   0.172531E+01   0.126656E-02   0.172531E+01   0.212459E-01  -0.963998E-06   0.126656E-02  -0.963998E-06   0.127003E-06
    32   0.106062E+04   0.174559E+01   0.123339E-02   0.174559E+01   0.237174E-01  -0.101828E-05   0.123339E-02  -0.101828E-05   0.126994E-06
    33   0.107782E+04   0.175557E+01   0.120184E-02   0.175557E+01   0.263407E-01  -0.104063E-05   0.120184E-02  -0.104063E-05   0.126931E-06
    34   0.109525E+04   0.175264E+01   0.117159E-02   0.175264E+01   0.291133E-01  -0.107744E-05   0.117159E-02  -0.107744E-05   0.126816E-06
    35   0.111287E+04   0.173771E+01   0.114215E-02   0.173771E+01   0.320678E-01  -0.109153E-05   0.114215E-02  -0.109153E-05   0.126654E-06
    36   0.113062E+04   0.171172E+01   0.111315E-02   0.171172E+01   0.352447E-01  -0.103334E-05   0.111315E-02  -0.103334E-05   0.126448E-06
    37   0.114849E+04   0.167619E+01   0.108496E-02   0.167619E+01   0.386472E-01  -0.887228E-06   0.108496E-02  -0.887228E-06   0.126202E-06
    38   0.116676E+04   0.163414E+01   0.105803E-02   0.163414E+01   0.422763E-01  -0.660326E-06   0.105803E-02  -0.660326E-06   0.125918E-06
    39   0.118543E+04   0.158530E+01   0.103245E-02   0.158530E+01   0.461311E-01  -0.417013E-06   0.103245E-02  -0.417013E-06   0.125600E-06
    40   0.120424E+04   0.152838E+01   0.100819E-02   0.152838E+01   0.502161E-01  -0.235979E-06   0.100819E-02  -0.235979E-06   0.125248E-06
    41   0.122331E+04   0.146199E+01   0.985198E-03   0.146199E+01   0.545399E-01  -0.174965E-06   0.985198E-03  -0.174965E-06   0.124864E-06
    42   0.124240E+04   0.138513E+01   0.963307E-03   0.138513E+01   0.591093E-01  -0.207930E-06   0.963307E-03  -0.207930E-06   0.124452E-06
    43   0.126166E+04   0.129690E+01   0.942327E-03   0.129690E+01   0.639301E-01  -0.287887E-06   0.942327E-03  -0.287887E-06   0.124012E-06
    44   0.128092E+04   0.119730E+01   0.922065E-03   0.119730E+01   0.689933E-01  -0.367847E-06   0.922065E-03  -0.367847E-06   0.123548E-06
    45   0.130055E+04   0.108640E+01   0.902328E-03   0.108640E+01   0.743004E-01  -0.400822E-06   0.902328E-03  -0.400822E-06   0.123061E-06
    46   0.132047E+04   0.962432E+00   0.882966E-03   0.962432E+00   0.798545E-01  -0.354373E-06   0.882966E-03  -0.354373E-06   0.122553E-06
    47   0.134054E+04   0.826062E+00   0.864003E-03   0.826062E+00   0.856521E-01  -0.254247E-06   0.864003E-03  -0.254247E-06   0.122027E-06
    48   0.136071E+04   0.681235E+00   0.845507E-03   0.681235E+00   0.916953E-01  -0.140743E-06   0.845507E-03  -0.140743E-06   0.121484E-06
    49   0.138105E+04   0.531300E+00   0.827543E-03   0.531300E+00   0.979638E-01  -0.541551E-07   0.827543E-03  -0.541551E-07   0.120924E-06
    50   0.140181E+04   0.372824E+00   0.810179E-03   0.372824E+00   0.104430E+00  -0.347812E-07   0.810179E-03  -0.347812E-07   0.120351E-06
    51   0.142277E+04   0.201085E+00   0.793458E-03   0.201085E+00   0.111064E+00  -0.109780E-06   0.793458E-03  -0.109780E-06   0.119764E-06
    52   0.144415E+04   0.118224E-01   0.777323E-03   0.118224E-01   0.117953E+00  -0.253761E-06   0.777323E-03  -0.253761E-06   0.119165E-06
    53   0.146554E+04  -0.197253E+00   0.761697E-03  -0.197253E+00   0.125252E+00  -0.428195E-06   0.761697E-03  -0.428195E-06   0.118555E-06
    54   0.148685E+04  -0.420465E+00   0.746500E-03  -0.420465E+00   0.132957E+00  -0.594554E-06   0.746500E-03  -0.594554E-06   0.117935E-06
    55   0.150829E+04  -0.652022E+00   0.731653E-03  -0.652022E+00   0.141049E+00  -0.714309E-06   0.731653E-03  -0.714309E-06   0.117306E-06
    56   0.153006E+04  -0.892642E+00   0.717108E-03  -0.892642E+00   0.149389E+00  -0.758989E-06   0.717108E-03  -0.758989E-06   0.116668E-06
    57   0.155210E+04  -0.114279E+01   0.702937E-03  -0.114279E+01   0.157865E+00  -0.740347E-06   0.702937E-03  -0.740347E-06   0.116022E-06
    58   0.157443E+04  -0.140409E+01   0.689245E-03  -0.140409E+01   0.166483E+00  -0.680196E-06   0.689245E-03  -0.680196E-06   0.115369E-06
    59   0.159693E+04  -0.167820E+01   0.676136E-03  -0.167820E+01   0.175278E+00  -0.600344E-06   0.676136E-03  -0.600344E-06   0.114709E-06
    60   0.161963E+04  -0.196533E+01   0.663713E-03  -0.196533E+01   0.184297E+00  -0.522604E-06   0.663713E-03  -0.522604E-06   0.114043E-06
    61   0.164283E+04  -0.226533E+01   0.652035E-03  -0.226533E+01   0.193633E+00  -0.464293E-06   0.652035E-03  -0.464293E-06   0.113371E-06
    62   0.166593E+04  -0.257890E+01   0.640981E-03  -0.257890E+01   0.203275E+00  -0.424751E-06   0.640981E-03  -0.424751E-06   0.112693E-06
    63   0.168915E+04  -0.290662E+01   0.630384E-03  -0.290662E+01   0.213188E+00  -0.398828E-06   0.630384E-03  -0.398828E-06   0.112012E-06
    64   0.171277E+04  -0.324924E+01   0.620078E-03  -0.324924E+01   0.223389E+00  -0.381372E-06   0.620078E-03  -0.381372E-06   0.111327E-06
    65   0.173639E+04  -0.360698E+01   0.609895E-03  -0.360698E+01   0.233856E+00  -0.367230E-06   0.609895E-03  -0.367230E-06   0.110640E-06
    66   0.176032E+04  -0.397761E+01   0.599704E-03  -0.397761E+01   0.244527E+00  -0.352644E-06   0.599704E-03  -0.352644E-06   0.109952E-06
    67   0.178437E+04  -0.435852E+01   0.589516E-03  -0.435852E+01   0.255402E+00  -0.339428E-06   0.589516E-03  -0.339428E-06   0.109262E-06
    68   0.180883E+04  -0.474822E+01   0.579376E-03  -0.474822E+01   0.266519E+00  -0.330786E-06   0.579376E-03  -0.330786E-06   0.108572E-06
    69   0.183346E+04  -0.514519E+01   0.569329E-03  -0.514519E+01   0.277836E+00  -0.329926E-06   0.569329E-03  -0.329926E-06   0.107881E-06
    70   0.185840E+04  -0.555132E+01   0.559421E-03  -0.555132E+01   0.289392E+00  -0.340053E-06   0.559421E-03  -0.340053E-06   0.107191E-06
    71   0.188348E+04  -0.596913E+01   0.549698E-03  -0.596913E+01   0.301175E+00  -0.363286E-06   0.549698E-03  -0.363286E-06   0.106501E-06
    72   0.190875E+04  -0.639984E+01   0.540211E-03  -0.639984E+01   0.313159E+00  -0.397393E-06   0.540211E-03  -0.397393E-06   0.105811E-06
    73   0.193418E+04  -0.684385E+01   0.531015E-03  -0.684385E+01   0.325312E+00  -0.439057E-06   0.531015E-03  -0.439057E-06   0.105122E-06
    74   0.195982E+04  -0.730006E+01   0.522162E-03  -0.730006E+01   0.337626E+00  -0.484957E-06   0.522162E-03  -0.484957E-06   0.104433E-06
    75   0.198579E+04  -0.776677E+01   0.513705E-03  -0.776677E+01   0.350114E+00  -0.531776E-06   0.513705E-03  -0.531776E-06   0.103744E-06
    76   0.201206E+04  -0.824320E+01   0.505678E-03  -0.824320E+01   0.362778E+00  -0.575980E-06   0.505678E-03  -0.575980E-06   0.103057E-06
    77   0.203865E+04  -0.872937E+01   0.498039E-03  -0.872937E+01   0.375612E+00  -0.613183E-06   0.498039E-03  -0.613183E-06   0.102370E-06
    78   0.206559E+04  -0.922693E+01   0.490727E-03  -0.922693E+01   0.388645E+00  -0.638782E-06   0.490727E-03  -0.638782E-06   0.101684E-06
    79   0.209268E+04  -0.973234E+01   0.483681E-03  -0.973234E+01   0.401823E+00  -0.648178E-06   0.483681E-03  -0.648178E-06   0.100999E-06
    80   0.212000E+04  -0.102473E+02   0.476841E-03  -0.102473E+02   0.415153E+00  -0.636767E-06   0.476841E-03  -0.636767E-06   0.100317E-06
    81   0.214744E+04  -0.107724E+02   0.470152E-03  -0.107724E+02   0.428585E+00  -0.602087E-06   0.470152E-03  -0.602087E-06   0.996366E-07
    82   0.217509E+04  -0.113069E+02   0.463589E-03  -0.113069E+02   0.442142E+00  -0.550218E-06   0.463589E-03  -0.550218E-06   0.989588E-07
    83   0.220290E+04  -0.118503E+02   0.457133E-03  -0.118503E+02   0.455798E+00  -0.489380E-06   0.457133E-03  -0.489380E-06   0.982836E-07
    84   0.223096E+04  -0.124008E+02   0.450767E-03  -0.124008E+02   0.469548E+00  -0.427791E-06   0.450767E-03  -0.427791E-06   0.976113E-07
    85   0.225917E+04  -0.129596E+02   0.444471E-03  -0.129596E+02   0.483368E+00  -0.373670E-06   0.444471E-03  -0.373670E-06   0.969421E-07
    86   0.228760E+04  -0.135255E+02   0.438233E-03  -0.135255E+02   0.497268E+00  -0.333480E-06   0.438233E-03  -0.333480E-06   0.962762E-07
    87   0.231649E+04  -0.140977E+02   0.432065E-03  -0.140977E+02   0.511222E+00  -0.306658E-06   0.432065E-03  -0.306658E-06   0.956137E-07
    88   0.234536E+04  -0.146762E+02   0.425983E-03  -0.146762E+02   0.525248E+00  -0.290886E-06   0.425983E-03  -0.290886E-06   0.949547E-07
    89   0.237460E+04  -0.152625E+02   0.420004E-03  -0.152625E+02   0.539333E+00  -0.283848E-06   0.420004E-03  -0.283848E-06   0.942993E-07
    90   0.240403E+04  -0.158535E+02   0.414145E-03  -0.158535E+02   0.553444E+00  -0.283224E-06   0.414145E-03  -0.283224E-06   0.936476E-07
    91   0.243357E+04  -0.164500E+02   0.408419E-03  -0.164500E+02   0.567577E+00  -0.287034E-06   0.408419E-03  -0.287034E-06   0.929997E-07
    92   0.246337E+04  -0.170513E+02   0.402827E-03  -0.170513E+02   0.581718E+00  -0.294649E-06   0.402827E-03  -0.294649E-06   0.923556E-07
    93   0.249343E+04  -0.176575E+02   0.397365E-03  -0.176575E+02   0.595862E+00  -0.305777E-06   0.397365E-03  -0.305777E-06   0.917153E-07
    94   0.252354E+04  -0.182671E+02   0.392027E-03  -0.182671E+02   0.609973E+00  -0.320127E-06   0.392027E-03  -0.320127E-06   0.910790E-07
    95   0.255392E+04  -0.188812E+02   0.386811E-03  -0.188812E+02   0.624053E+00  -0.337407E-06   0.386811E-03  -0.337407E-06   0.904466E-07
    96   0.258426E+04  -0.194989E+02   0.381712E-03  -0.194989E+02   0.638088E+00  -0.357326E-06   0.381712E-03  -0.357326E-06   0.898181E-07
    97   0.261503E+04  -0.201196E+02   0.376727E-03  -0.201196E+02   0.652066E+00  -0.379592E-06   0.376727E-03  -0.379592E-06   0.891937E-07
    98   0.264600E+04  -0.207413E+02   0.371851E-03  -0.207413E+02   0.665980E+00  -0.403913E-06   0.371851E-03  -0.403913E-06   0.885733E-07
    99   0.267701E+04  -0.213670E+02   0.367081E-03  -0.213670E+02   0.679795E+00  -0.429999E-06   0.367081E-03  -0.429999E-06   0.879570E-07
   100   0.270831E+04  -0.219922E+02   0.362412E-03  -0.219922E+02   0.693512E+00  -0.457556E-06   0.362412E-03  -0.457556E-06   0.873448E-07
   101   0.273973E+04  -0.226202E+02   0.357841E-03  -0.226202E+02   0.707194E+00  -0.486294E-06   0.357841E-03  -0.486294E-06   0.867367E-07
   102   0.277166E+04  -0.232487E+02   0.353364E-03  -0.232487E+02   0.720692E+00  -0.515921E-06   0.353364E-03  -0.515921E-06   0.861328E-07
   103   0.280350E+04  -0.238786E+02   0.348976E-03  -0.238786E+02   0.734083E+00  -0.546146E-06   0.348976E-03  -0.546146E-06   0.855332E-07
   104   0.283556E+04  -0.245070E+02   0.344674E-03  -0.245070E+02   0.747368E+00  -0.576676E-06   0.344674E-03  -0.576676E-06   0.849378E-07
   105   0.286774E+04  -0.251355E+02   0.340454E-03  -0.251355E+02   0.760474E+00  -0.607221E-06   0.340454E-03  -0.607221E-06   0.843467E-07
   106   0.290015E+04  -0.257635E+02   0.336312E-03  -0.257635E+02   0.773479E+00  -0.637489E-06   0.336312E-03  -0.637489E-06   0.837599E-07
   107   0.293247E+04  -0.263895E+02   0.332244E-03  -0.263895E+02   0.786234E+00  -0.667187E-06   0.332244E-03  -0.667187E-06   0.831775E-07
   108   0.296516E+04  -0.270144E+02   0.328246E-03  -0.270144E+02   0.798815E+00  -0.696025E-06   0.328246E-03  -0.696025E-06   0.825995E-07
   109   0.299800E+04  -0.276368E+02   0.324314E-03  -0.276368E+02   0.811151E+00  -0.723712E-06   0.324314E-03  -0.723712E-06   0.820259E-07
   110   0.303091E+04  -0.282554E+02   0.320444E-03  -0.282554E+02   0.823242E+00  -0.749954E-06   0.320444E-03  -0.749954E-06   0.814568E-07
   111   0.306397E+04  -0.288716E+02   0.316633E-03  -0.288716E+02   0.835164E+00  -0.774511E-06   0.316633E-03  -0.774511E-06   0.808922E-07
   112   0.309718E+04  -0.294847E+02   0.312880E-03  -0.294847E+02   0.846843E+00  -0.797335E-06   0.312880E-03  -0.797335E-06   0.803321E-07
   113   0.313061E+04  -0.300933E+02   0.309184E-03  -0.300933E+02   0.858280E+00  -0.818429E-06   0.309184E-03  -0.818429E-06   0.797764E-07
   114   0.316411E+04  -0.306967E+02   0.305545E-03  -0.306967E+02   0.869401E+00  -0.837796E-06   0.305545E-03  -0.837796E-06   0.792253E-07
   115   0.319783E+04  -0.312947E+02   0.301962E-03  -0.312947E+02   0.880354E+00  -0.855439E-06   0.301962E-03  -0.855439E-06   0.786786E-07
   116   0.323155E+04  -0.318867E+02   0.298437E-03  -0.318867E+02   0.890917E+00  -0.871360E-06   0.298437E-03  -0.871360E-06   0.781363E-07
   117   0.326557E+04  -0.324718E+02   0.294967E-03  -0.324718E+02   0.901163E+00  -0.885561E-06   0.294967E-03  -0.885561E-06   0.775985E-07
   118   0.329972E+04  -0.330509E+02   0.291552E-03  -0.330509E+02   0.911243E+00  -0.898047E-06   0.291552E-03  -0.898047E-06   0.770650E-07
   119   0.333387E+04  -0.336217E+02   0.288193E-03  -0.336217E+02   0.921007E+00  -0.908819E-06   0.288193E-03  -0.908819E-06   0.765360E-07
   120   0.336817E+04  -0.341842E+02   0.284889E-03  -0.341842E+02   0.930308E+00  -0.917880E-06   0.284889E-03  -0.917880E-06   0.760113E-07
   121   0.340245E+04  -0.347384E+02   0.281639E-03  -0.347384E+02   0.939441E+00  -0.925233E-06   0.281639E-03  -0.925233E-06   0.754911E-07
   122   0.343680E+04  -0.352835E+02   0.278444E-03  -0.352835E+02   0.948112E+00  -0.930881E-06   0.278444E-03  -0.930881E-06   0.749751E-07
